المفهوم الأكاديمي,رابط المفهوم على سمارتيكل,التخصص الفرعي,عنوان المرجع الأكاديمي,رابط المرجع المباشر,التوثيق المنسق
علم النفس التطوري: بياجيه، فيغوتسكي، ومراحل التطور البشري.,https://smarticle.tech/ar/article/developmental-psychology-piaget-vygotsky-and-stages-of-human-development-202605130133,Psychology,How children develop,https://archive.org/details/howchildrendevel0000sieg,How children develop. بقلم Robert S. Siegler، Nancy Eisenberg، Judy S. Deloache. (2002). — FREEMAN MACMILLAN. ردمك: 9781429272681
علم النفس التطوري: بياجيه، فيغوتسكي، ومراحل التطور البشري.,https://smarticle.tech/ar/article/developmental-psychology-piaget-vygotsky-and-stages-of-human-development-202605130133,Psychology,Human Growth and Development,https://archive.org/details/humangrowthdevel0000sudb,Human Growth and Development. بقلم John Sudbery. (2009). — Taylor & Francis Group. ردمك: 9781135275549
علم النفس التطوري: بياجيه، فيغوتسكي، ومراحل التطور البشري.,https://smarticle.tech/ar/article/developmental-psychology-piaget-vygotsky-and-stages-of-human-development-202605130133,Psychology,The education of children,https://archive.org/details/b29932026,The education of children. بقلم Alfred Adler. (1930). — Taylor & Francis Group. ردمك: 9780786102730
علم النفس التطوري: بياجيه، فيغوتسكي، ومراحل التطور البشري.,https://smarticle.tech/ar/article/developmental-psychology-piaget-vygotsky-and-stages-of-human-development-202605130133,Psychology,Psychologische Typen,https://archive.org/details/typespsychologiq0000jung,Psychologische Typen. بقلم Carl Gustav Jung. (1921). — Georg. ردمك: 0691097704
علم النفس التطوري: بياجيه، فيغوتسكي، ومراحل التطور البشري.,https://smarticle.tech/ar/article/developmental-psychology-piaget-vygotsky-and-stages-of-human-development-202605130133,Psychology,Human Behavior in the Social Environment,https://openlibrary.org/works/OL20709583W,Human Behavior in the Social Environment. بقلم Anissa Taun Rogers. (2016). — Taylor & Francis Group. ردمك: 9781317243526
علم النفس التطوري: بياجيه، فيغوتسكي، ومراحل التطور البشري.,https://smarticle.tech/ar/article/developmental-psychology-piaget-vygotsky-and-stages-of-human-development-202605130133,Psychology,"Play, Cognitive Development, and the Social World: Piaget, Vygotsky, and Beyond",https://doi.org/10.1159/000277285,"أنجيليكي نيكولوبولو. ""اللعب، التطور المعرفي، والعالم الاجتماعي: بياجيه، فيجوتسكي، وما وراءهما"". كروسريف، 2010."
علم النفس التطوري: بياجيه، فيغوتسكي، ومراحل التطور البشري.,https://smarticle.tech/ar/article/developmental-psychology-piaget-vygotsky-and-stages-of-human-development-202605130133,Psychology,"Vygotsky, Piaget, and Bandura: Perspectives on the Relations between the Social World and Cognitive Development",https://doi.org/10.1159/000277297,"جوناثان آر. إتش. تودج، بول إيه. وينترفوف. ""فيجوتسكي، بياجيه، وباندورا: وجهات نظر حول العلاقات بين العالم الاجتماعي والتطور المعرفي"". كروسريف، 2010."
علم النفس التطوري: بياجيه، فيغوتسكي، ومراحل التطور البشري.,https://smarticle.tech/ar/article/developmental-psychology-piaget-vygotsky-and-stages-of-human-development-202605130133,Psychology,"Vygotsky, Piaget and the Dialectic of Development",https://doi.org/10.1159/000276332,"توماس بيديل. ""فيجوتسكي، بياجيه، والديالكتيك التطور"". كروسريف، 2010."
التحليل النفسي وعلم النفس العميق: فرويد، يونغ، واللاوعي.,https://smarticle.tech/ar/article/psychoanalysis-and-depth-psychology-freud-jung-and-the-unconscious-202605130139,Psychology,Scientific Reference,https://archive.org/details/aionresearchesin0009_part2,Aion. بقلم Carl Gustav Jung، Gerhard Adler، R. F.C. Hull. (1951). — Routledge and Kegan Paul. ردمك: 9780710062949
التحليل النفسي وعلم النفس العميق: فرويد، يونغ، واللاوعي.,https://smarticle.tech/ar/article/psychoanalysis-and-depth-psychology-freud-jung-and-the-unconscious-202605130139,Psychology,Wisdom of the Psyche,https://openlibrary.org/works/OL21297560W,Wisdom of the Psyche. بقلم Ginette Paris. (2013). — Routledge. ردمك: 9781138900868
التحليل النفسي وعلم النفس العميق: فرويد، يونغ، واللاوعي.,https://smarticle.tech/ar/article/psychoanalysis-and-depth-psychology-freud-jung-and-the-unconscious-202605130139,Psychology,Descent of the Soul and the Archaic,https://openlibrary.org/works/OL27808224W,Descent of the Soul and the Archaic. بقلم Paul Bishop، Terence Dawson، Leslie Gardner. (2022). — Taylor & Francis Group. ردمك: 9780367515010
التحليل النفسي وعلم النفس العميق: فرويد، يونغ، واللاوعي.,https://smarticle.tech/ar/article/psychoanalysis-and-depth-psychology-freud-jung-and-the-unconscious-202605130139,Psychology,Depth Psychology and Climate Change,https://openlibrary.org/works/OL21710565W,Depth Psychology and Climate Change. بقلم Dale Mathers. (2020). — Taylor & Francis Group. ردمك: 1000264459
التحليل النفسي وعلم النفس العميق: فرويد، يونغ، واللاوعي.,https://smarticle.tech/ar/article/psychoanalysis-and-depth-psychology-freud-jung-and-the-unconscious-202605130139,Psychology,"Jungian Analysis, Depth Psychology, and Soul",https://openlibrary.org/works/OL21328854W,"Jungian Analysis, Depth Psychology, and Soul. بقلم Thomas B. Kirsch. (2017). — Taylor & Francis Group. ردمك: 113868869X"
التحليل النفسي وعلم النفس العميق: فرويد، يونغ، واللاوعي.,https://smarticle.tech/ar/article/psychoanalysis-and-depth-psychology-freud-jung-and-the-unconscious-202605130139,Psychology,Tiefenpsychologie und neue Ethik,https://archive.org/details/depthpsychologya0000neum,Tiefenpsychologie und neue Ethik. بقلم Erich Neumann، Juan Pérez Ruiz، Juan Pérez Ruiz. (1949). — Harper Torchbooks. ردمك: 9780061317774
التحليل النفسي وعلم النفس العميق: فرويد، يونغ، واللاوعي.,https://smarticle.tech/ar/article/psychoanalysis-and-depth-psychology-freud-jung-and-the-unconscious-202605130139,Psychology,Sigmund Freud and Carl Jung on Myths and Archetypes of the Collective Unconscious: Unnoticed Similarity,https://doi.org/10.18523/2617-1678.2021.8.25-37,"مينزهولين، فاديم. ""سيغموند فرويد وكارل يونغ حول الأساطير والأشكال البدئية لللاوعي الجمعي: تشابه غير ملحوظ"". semantic_scholar_foundational، 2021."
التحليل النفسي وعلم النفس العميق: فرويد، يونغ، واللاوعي.,https://smarticle.tech/ar/article/psychoanalysis-and-depth-psychology-freud-jung-and-the-unconscious-202605130139,Psychology,"Multitemporal materialism. History and unconscious memory, between Freud and Benjamin",https://doi.org/10.1080/00207578.2020.1772074,"ليفاندرو دريفيت. ""المادية متعددة الأزمنة. التاريخ والذاكرة اللاواعية، بين فرويد وبنجامين"". semantic_scholar_foundational، 2020."
التحليل النفسي وعلم النفس العميق: فرويد، يونغ، واللاوعي.,https://smarticle.tech/ar/article/psychoanalysis-and-depth-psychology-freud-jung-and-the-unconscious-202605130139,Psychology,Discovering the Freud wars: Henri F. Ellenberger and the polarized history of psychotherapy in France (circa 1970).,https://doi.org/10.1037/hop0000281,"فورنر، إي.، أمورو، ر.، أرنوف، م.، سيرينا، ف. ""اكتشاف حروب فرويد: هنري ف. إلينبرغر والتاريخ المتحيز للعلاج النفسي في فرنسا (حوالي 1970)"". semantic_scholar_foundational، 2025."
التحليل النفسي وعلم النفس العميق: فرويد، يونغ، واللاوعي.,https://smarticle.tech/ar/article/psychoanalysis-and-depth-psychology-freud-jung-and-the-unconscious-202605130139,Psychology,"Dress, Dreams, and Desire",https://doi.org/10.5040/9781350428218,"في. ستيلي. ""الملابس، الأحلام، والرغبة"". semantic_scholar_foundational، 2023."
الطبقية الاجتماعية: الطبقة، الوضع، السلطة، وعدم المساواة.,https://smarticle.tech/ar/article/social-stratification-class-status-power-and-inequality-202605130146,Sociology,Caste,https://openlibrary.org/works/OL20878310W,Caste. بقلم Isabel Wilkerson، Antonio Francisco Rodríguez Esteban. (2020). — Delacorte Press. ردمك: 0593427963
الطبقية الاجتماعية: الطبقة، الوضع، السلطة، وعدم المساواة.,https://smarticle.tech/ar/article/social-stratification-class-status-power-and-inequality-202605130146,Sociology,"Class, status and power",https://archive.org/details/classstatuspower0000rein_u3f6,"Class, status and power. بقلم Reinhard Bendix، Seymour Martin Lipset. (1953). — Free Press. ردمك: 9788424002718"
الطبقية الاجتماعية: الطبقة، الوضع، السلطة، وعدم المساواة.,https://smarticle.tech/ar/article/social-stratification-class-status-power-and-inequality-202605130146,Sociology,Social Stratification and Inequality,https://archive.org/details/socialstratifica00kerb,Social Stratification and Inequality. بقلم Harold R. Kerbo. (1983). — McGraw-Hill Education. ردمك: 0072997699
الطبقية الاجتماعية: الطبقة، الوضع، السلطة، وعدم المساواة.,https://smarticle.tech/ar/article/social-stratification-class-status-power-and-inequality-202605130146,Sociology,End of Social Inequality?,https://openlibrary.org/works/OL39207385W,End of Social Inequality?. بقلم David Lane. (2024). — Taylor & Francis Group. ردمك: 9781032880594
الطبقية الاجتماعية: الطبقة، الوضع، السلطة، وعدم المساواة.,https://smarticle.tech/ar/article/social-stratification-class-status-power-and-inequality-202605130146,Sociology,The Gender Division of Welfare,https://archive.org/details/genderdivisionof00mary,The Gender Division of Welfare. بقلم Mary Daly. (2000). — Cambridge University Press. ردمك: 0521623316
الطبقية الاجتماعية: الطبقة، الوضع، السلطة، وعدم المساواة.,https://smarticle.tech/ar/article/social-stratification-class-status-power-and-inequality-202605130146,Sociology,Random family,https://archive.org/details/zomaarfamilielie0000lebl,Random family. بقلم Adrian Nicole LeBlanc. (2003). — EDITIONS DE L'OLIVIER. ردمك: 9780965617475
الطبقية الاجتماعية: الطبقة، الوضع، السلطة، وعدم المساواة.,https://smarticle.tech/ar/article/social-stratification-class-status-power-and-inequality-202605130146,Sociology,Jude the Obscure,https://archive.org/details/judeobscure0000unse_r5l3,Jude the Obscure. بقلم Thomas Hardy. (1895). — Houghton Mifflin. ردمك: 9780497261672
الطبقية الاجتماعية: الطبقة، الوضع، السلطة، وعدم المساواة.,https://smarticle.tech/ar/article/social-stratification-class-status-power-and-inequality-202605130146,Sociology,Great Expectations,https://archive.org/details/dickenswork14dick,Great Expectations. بقلم Charles Dickens. (1861). — Race Point Publishing. ردمك: 0862250862
الطبقية الاجتماعية: الطبقة، الوضع، السلطة، وعدم المساواة.,https://smarticle.tech/ar/article/social-stratification-class-status-power-and-inequality-202605130146,Sociology,Gunnm last order,https://archive.org/details/battleangelalita0009kish,Gunnm last order. بقلم Yukito Kishiro. (1994). — Viz Communications. ردمك: 9781591162810
الطبقية الاجتماعية: الطبقة، الوضع، السلطة، وعدم المساواة.,https://smarticle.tech/ar/article/social-stratification-class-status-power-and-inequality-202605130146,Sociology,Iron Gold,https://archive.org/details/realjesusofnazar0000unse,Iron Gold. بقلم Pierce Brown. (2018). — publisher not identified. ردمك: 9781473646551
المؤسسات الاجتماعية والسلوك الجمعي: المعايير، الانحراف، والرقابة الاجتماعية.,https://smarticle.tech/ar/article/social-institutions-and-collective-behavior-norms-deviance-and-social-contr-202605130154,Sociology,De la démocratie en Amérique,https://archive.org/details/democracyiname01tocq,De la démocratie en Amérique. بقلم Alexis de Tocqueville، Gustave de Beaumont. (1835). — Blackstone Pub. ردمك: 0451603621
المؤسسات الاجتماعية والسلوك الجمعي: المعايير، الانحراف، والرقابة الاجتماعية.,https://smarticle.tech/ar/article/social-institutions-and-collective-behavior-norms-deviance-and-social-contr-202605130154,Sociology,Nicomachean Ethics,https://archive.org/details/nicomacheanethic1865aris,Nicomachean Ethics. بقلم Aristotle. (1558). — Harvard University Press. ردمك: 1015407412
المؤسسات الاجتماعية والسلوك الجمعي: المعايير، الانحراف، والرقابة الاجتماعية.,https://smarticle.tech/ar/article/social-institutions-and-collective-behavior-norms-deviance-and-social-contr-202605130154,Sociology,Manifest der Kommunistischen Partei,https://archive.org/details/communistmanifes00marx_490,Manifest der Kommunistischen Partei. بقلم Karl Marx، Friedrich Engels. (1848). — Office der Bildungs-Gesellschaft für Arbeiter. ردمك: 2209057930
المؤسسات الاجتماعية والسلوك الجمعي: المعايير، الانحراف، والرقابة الاجتماعية.,https://smarticle.tech/ar/article/social-institutions-and-collective-behavior-norms-deviance-and-social-contr-202605130154,Sociology,Building Communism and Policing Deviance in the Soviet Union,https://openlibrary.org/works/OL25763918W,Building Communism and Policing Deviance in the Soviet Union. بقلم Mirjam Galley. (2020). — Taylor & Francis Group. ردمك: 1000335445
المؤسسات الاجتماعية والسلوك الجمعي: المعايير، الانحراف، والرقابة الاجتماعية.,https://smarticle.tech/ar/article/social-institutions-and-collective-behavior-norms-deviance-and-social-contr-202605130154,Sociology,"From Norm Violations to Norm Development: Deviance, International Institutions, and the Torture Prohibition",https://doi.org/10.1093/isq/sqad043,"ليش، ماكس. ""من انتهاكات المعايير إلى تطور المعايير: الانحراف، المؤسسات الدولية، وحظر التعذيب"". *الدورية الدولية للدراسات*، 2023."
المؤسسات الاجتماعية والسلوك الجمعي: المعايير، الانحراف، والرقابة الاجتماعية.,https://smarticle.tech/ar/article/social-institutions-and-collective-behavior-norms-deviance-and-social-contr-202605130154,Sociology,The emergence of deviance: Experiments testing the personal effects of violating a social norm,https://doi.org/10.31234/osf.io/xk3zw,"غوميلا، روبن، وإليزابيث ليفي بالوك. ""ظهور الانحراف: تجارب تختبر الآثار الشخصية لانتهاك المعيار الاجتماعي"". *كروسريف*، 2020."
المؤسسات الاجتماعية والسلوك الجمعي: المعايير، الانحراف، والرقابة الاجتماعية.,https://smarticle.tech/ar/article/social-institutions-and-collective-behavior-norms-deviance-and-social-contr-202605130154,Sociology,Deviance or norm? Exploring corporate social responsibility,https://doi.org/10.1108/09555341011056177,"رالستون، إكاتيرينا إس. ""الانحراف أم المعيار؟ استكشاف مسؤولية الشركات الاجتماعية"". *كروسريف*، 2010."
المؤسسات الاجتماعية والسلوك الجمعي: المعايير، الانحراف، والرقابة الاجتماعية.,https://smarticle.tech/ar/article/social-institutions-and-collective-behavior-norms-deviance-and-social-contr-202605130154,Sociology,The nature of collective behavior.,https://doi.org/10.1037/14412-004,"سميلسر، نيل ج. ""طبيعة السلوك الجماعي"". *كروسريف*، 1962."
المؤسسات الاجتماعية والسلوك الجمعي: المعايير، الانحراف، والرقابة الاجتماعية.,https://smarticle.tech/ar/article/social-institutions-and-collective-behavior-norms-deviance-and-social-contr-202605130154,Sociology,Theory of collective behavior.,https://doi.org/10.1037/14412-000,"سميلسر، نيل ج. ""نظرية السلوك الجماعي"". *كروسريف*، 1963."
علم الاجتماع الحضري: المدن، التحضر، وديناميات المجتمع المتروبوليتاني.,https://smarticle.tech/ar/article/urban-sociology-cities-urbanization-and-metropolitan-social-dynamics-202605130202,Sociology,The Gold coast and slum,https://archive.org/details/rareharveywzorba0000harv,The Gold coast and slum. بقلم Harvey Warren Zorbaugh. (1929). — Chicago U.P.. ردمك: 9780226989457
علم الاجتماع الحضري: المدن، التحضر، وديناميات المجتمع المتروبوليتاني.,https://smarticle.tech/ar/article/urban-sociology-cities-urbanization-and-metropolitan-social-dynamics-202605130202,Sociology,"The Muqaddimah, an introduction to history",https://archive.org/details/muqaddimatalalla008800,"The Muqaddimah, an introduction to history. بقلم Ibn Khaldūn، عبد الرحمن ابن خلدون Abdel Rahman Ibn Khaldun. (1858). — Sindbad. ردمك: 9780710016829"
علم الاجتماع الحضري: المدن، التحضر، وديناميات المجتمع المتروبوليتاني.,https://smarticle.tech/ar/article/urban-sociology-cities-urbanization-and-metropolitan-social-dynamics-202605130202,Sociology,La Société du spectacle,https://archive.org/details/introductionalas0000voye,La Société du spectacle. بقلم Guy Debord. (1967). — Gallimard. ردمك: 2070394433
علم الاجتماع الحضري: المدن، التحضر، وديناميات المجتمع المتروبوليتاني.,https://smarticle.tech/ar/article/urban-sociology-cities-urbanization-and-metropolitan-social-dynamics-202605130202,Sociology,Schumpeterian Dynamics and Metropolitan-Scale Productivity,https://openlibrary.org/works/OL21329649W,Schumpeterian Dynamics and Metropolitan-Scale Productivity. بقلم Yeonwoo Lee. (2017). — Taylor & Francis Group. ردمك: 9781138718944
علم الاجتماع الحضري: المدن، التحضر، وديناميات المجتمع المتروبوليتاني.,https://smarticle.tech/ar/article/urban-sociology-cities-urbanization-and-metropolitan-social-dynamics-202605130202,Sociology,"Modeling social heterogeneity, neighborhoods and local influences on urban real estate prices",https://openlibrary.org/works/OL18634157W,"Modeling social heterogeneity, neighborhoods and local influences on urban real estate prices. بقلم Bernardo Alves Furtado. (2009). — Faculteit Geowetenschappen Universiteit Utrecht. ردمك: 9068094289"
علم الاجتماع الحضري: المدن، التحضر، وديناميات المجتمع المتروبوليتاني.,https://smarticle.tech/ar/article/urban-sociology-cities-urbanization-and-metropolitan-social-dynamics-202605130202,Sociology,The American nation,https://archive.org/details/shorthistoryofam0002garr,The American nation. بقلم John Arthur Garraty، Mark C. Carnes. (1966). — HarperCollins. ردمك: 9780060422660
علم الاجتماع الحضري: المدن، التحضر، وديناميات المجتمع المتروبوليتاني.,https://smarticle.tech/ar/article/urban-sociology-cities-urbanization-and-metropolitan-social-dynamics-202605130202,Sociology,Sozialgeschichte der Kunst und Literatur,https://archive.org/details/bwb_P3-DUZ-063,"Sozialgeschichte der Kunst und Literatur. بقلم Arnold Hauser، S. Godman، Harris, Jonathan. (1951). — Routledge & K. Paul. ردمك: 9781280172977"
علم الاجتماع الحضري: المدن، التحضر، وديناميات المجتمع المتروبوليتاني.,https://smarticle.tech/ar/article/urban-sociology-cities-urbanization-and-metropolitan-social-dynamics-202605130202,Sociology,Sociology and the study of cities,https://doi.org/10.1093/med/9780198804949.003.0002,"أورم، أنتوني إم. ""علم الاجتماع ودراسة المدن"". كروسريف، ٢٠١٩."
علم النفس التربوي ونظريات التعلم: السلوكية إلى البنائية.,https://smarticle.tech/ar/article/educational-psychology-and-learning-theories-behaviorism-to-constructivism-202605130210,Education,Summerhill,https://archive.org/details/summerhill0000asne,Summerhill. بقلم A. S. Neill. (1926). — Eumo Editorial SAU. ردمك: 0805512993
علم النفس التربوي ونظريات التعلم: السلوكية إلى البنائية.,https://smarticle.tech/ar/article/educational-psychology-and-learning-theories-behaviorism-to-constructivism-202605130210,Education,The world of psychology,https://archive.org/details/worldofpsycholog0000wood,The world of psychology. بقلم Samuel E. Wood، Ellen Green Wood، Denise Boyd. (1992). — Pearson/Allyn and Bacon. ردمك: 0205490166
علم النفس التربوي ونظريات التعلم: السلوكية إلى البنائية.,https://smarticle.tech/ar/article/educational-psychology-and-learning-theories-behaviorism-to-constructivism-202605130210,Education,Educational psychology,https://archive.org/details/educationalpsych0000wool_q8m9,Educational psychology. بقلم Anita Woolfolk Hoy، Philip H. Winne، Nancy E. Perry. (1987). — Not Avail. ردمك: 0205155421
علم النفس التربوي ونظريات التعلم: السلوكية إلى البنائية.,https://smarticle.tech/ar/article/educational-psychology-and-learning-theories-behaviorism-to-constructivism-202605130210,Education,"Behaviorism, Constructivism, and Communities of Practice: How Pedagogic Theories Help Us Understand Game-Based Language Learning",https://doi.org/10.1057/9781137005267_4,"فيلسيكر، مايكل، وجوديث بوندجنز-كوستن. ""السلوكية والبنائية ومجتمعات الممارسة: كيف تساعدنا النظريات التربوية في فهم تعلم اللغة القائم على الألعاب"". *كروسريف*، 2012."
علم النفس التربوي ونظريات التعلم: السلوكية إلى البنائية.,https://smarticle.tech/ar/article/educational-psychology-and-learning-theories-behaviorism-to-constructivism-202605130210,Education,From Behaviorism to Constructivism: A Philosophical Journey from Drill and Practice to Situated Learning,https://doi.org/10.4324/9780203878842-22,"إرتمر، ب. أ.، ونيوبي، ت. ج. ""من السلوكية إلى البنائية: رحلة فلسفية من التدريب والممارسة إلى التعلم الموضعي"". *كروسريف*، 1993."
تطوير المناهج: النظرية، التصميم، والإصلاح,https://smarticle.tech/ar/article/curriculum-development-theory-design-and-reform-202605130219,Education,The school and society,https://archive.org/details/schoolsociety00dewerich,The school and society. بقلم John Dewey. (1899). — University of Chicago Press. ردمك: 9781428615168
تطوير المناهج: النظرية، التصميم، والإصلاح,https://smarticle.tech/ar/article/curriculum-development-theory-design-and-reform-202605130219,Education,Curriculum development,https://archive.org/details/curriculumdevelo0000wile_z4k9,Curriculum development. بقلم Jon Wiles، Jon W. Wiles، Joseph C. Bondi. (1979). — Pearson. ردمك: 9780130983534
تطوير المناهج: النظرية، التصميم، والإصلاح,https://smarticle.tech/ar/article/curriculum-development-theory-design-and-reform-202605130219,Education,Model programs--childhood education,https://openlibrary.org/works/OL6632202W,Model programs--childhood education. بقلم American Institutes for Research.. (1970)
تطوير المناهج: النظرية، التصميم، والإصلاح,https://smarticle.tech/ar/article/curriculum-development-theory-design-and-reform-202605130219,Education,Understanding curriculum,https://archive.org/details/understandingcur0000unse_c9h9,Understanding curriculum. بقلم William Pinar، William F. Pinar، William M. Reynolds. (1995). — Peter Lang Pub Inc. ردمك: 0820426016
تطوير المناهج: النظرية، التصميم، والإصلاح,https://smarticle.tech/ar/article/curriculum-development-theory-design-and-reform-202605130219,Education,Het Achterhuis,https://archive.org/details/lp_the-diary-of-a-young-girl_anne-frank-elinor-basescu,Het Achterhuis. بقلم Anne Frank. (1944). — Fischer-Taschenbuch-Verlag. ردمك: 0385508476
تطوير المناهج: النظرية، التصميم، والإصلاح,https://smarticle.tech/ar/article/curriculum-development-theory-design-and-reform-202605130219,Education,Achievement in primary schools,https://archive.org/details/achievementinpri0000grea,"Achievement in primary schools. بقلم Great Britain. Parliament. House of Commons. Education, Science and Arts Committee.. (1984). — H.M.S.O.. ردمك: 9780100085541"
تطوير المناهج: النظرية، التصميم، والإصلاح,https://smarticle.tech/ar/article/curriculum-development-theory-design-and-reform-202605130219,Education,A Hand for Spelling,https://openlibrary.org/works/OL9185512W,A Hand for Spelling. بقلم Charles C. Cripps. (1988). — LDA. ردمك: 1855032074
تطوير المناهج: النظرية، التصميم، والإصلاح,https://smarticle.tech/ar/article/curriculum-development-theory-design-and-reform-202605130219,Education,Art & Indian children of the Dakotas,https://openlibrary.org/works/OL10385174W,"Art & Indian children of the Dakotas. بقلم Arthur Amiotte. (1982). — U.S. Department of the Interior, Bureau of Indian Affairs, Aberdeen Area Office"
تطوير المناهج: النظرية، التصميم، والإصلاح,https://smarticle.tech/ar/article/curriculum-development-theory-design-and-reform-202605130219,Education,The ID casebook,https://openlibrary.org/works/OL1915461W,The ID casebook. بقلم Peggy A. Ertmer، James Quinn. (1998). — Routledge. ردمك: 1138574449
تطوير المناهج: النظرية، التصميم، والإصلاح,https://smarticle.tech/ar/article/curriculum-development-theory-design-and-reform-202605130219,Education,"[Papers presented at the 20th Annual Conference of the Ontario Educational Research Council, Toronto, Ontario, December 1-2, 1978]",https://openlibrary.org/works/OL12357435W,"[Papers presented at the 20th Annual Conference of the Ontario Educational Research Council, Toronto, Ontario, December 1-2, 1978]. بقلم Ontario Educational Research Council. Conference. (1966). — Sine nomine"
