المفهوم الأكاديمي,رابط المفهوم على سمارتيكل,التخصص الفرعي,عنوان المرجع الأكاديمي,رابط المرجع المباشر,التوثيق المنسق
المنطق الأرسطي والميتافيزيقا والأسباب الأربعة,https://smarticle.tech/ar/article/aristotelian-logic-metaphysics-and-the-four-causes-202605121252,Ancient Philosophy,La Poetica,https://archive.org/details/metaphysicsofari00aris,"La Poetica. بقلم Aristotle. (1479). — Ediciones de la Biblioteca, Universidad Central de Venezuela. ردمك: 0140446192"
المنطق الأرسطي والميتافيزيقا والأسباب الأربعة,https://smarticle.tech/ar/article/aristotelian-logic-metaphysics-and-the-four-causes-202605121252,Ancient Philosophy,An essay on metaphysics,https://archive.org/details/essayonmetaphysi0000coll,"An essay on metaphysics. بقلم R. G. Collingwood. (1940). — Oxford University Press, USA. ردمك: 9780819133151"
المنطق الأرسطي والميتافيزيقا والأسباب الأربعة,https://smarticle.tech/ar/article/aristotelian-logic-metaphysics-and-the-four-causes-202605121252,Ancient Philosophy,Isagoge,https://openlibrary.org/works/OL1225890W,Isagoge. بقلم Porphyry. (1887). — Liviana. ردمك: 2711613445
المنطق الأرسطي والميتافيزيقا والأسباب الأربعة,https://smarticle.tech/ar/article/aristotelian-logic-metaphysics-and-the-four-causes-202605121252,Ancient Philosophy,Alexander of Aphrodisias,https://openlibrary.org/works/OL21043483W,Alexander of Aphrodisias. بقلم E. W. Dooley، E. W. Dooley، Michael Griffin. (2014). — Bloomsbury Academic. ردمك: 1306720435
المنطق الأرسطي والميتافيزيقا والأسباب الأربعة,https://smarticle.tech/ar/article/aristotelian-logic-metaphysics-and-the-four-causes-202605121252,Ancient Philosophy,Philosophy of Aristotle,https://archive.org/details/philosophyofaris0000renf_v7u2,Philosophy of Aristotle. بقلم Renford Bambrough، J. L. Creed. (1962). — Signet Classics. ردمك: 9780451528872
المنطق الأرسطي والميتافيزيقا والأسباب الأربعة,https://smarticle.tech/ar/article/aristotelian-logic-metaphysics-and-the-four-causes-202605121252,Ancient Philosophy,Aristotle's Modal Logic,https://openlibrary.org/works/OL8244683W,Aristotle's Modal Logic. بقلم Richard Patterson. (2002). — Cambridge University Press. ردمك: 0511884184
المنطق الأرسطي والميتافيزيقا والأسباب الأربعة,https://smarticle.tech/ar/article/aristotelian-logic-metaphysics-and-the-four-causes-202605121252,Ancient Philosophy,Aristotle: Semantics and Ontology General Introduction,https://openlibrary.org/works/OL9090597W,Aristotle: Semantics and Ontology General Introduction. بقلم Lambertus Marie De Rijk. (2002). — Brill Academic Publishers. ردمك: 9004123245
الرواقية والأبيقورية: الأخلاق والسعادة والحياة الطيبة.,https://smarticle.tech/ar/article/stoicism-and-epicureanism-ethics-happiness-and-the-good-life-202605121302,Ancient Philosophy,Stoic Ethics,https://books.google.com/books,Stoic Ethics. بقلم William O. Stephens. (2007). — A&C Black. ردمك: 9781441170453
الرواقية والأبيقورية: الأخلاق والسعادة والحياة الطيبة.,https://smarticle.tech/ar/article/stoicism-and-epicureanism-ethics-happiness-and-the-good-life-202605121302,Ancient Philosophy,"Stoics, Epicureans, and sceptics",https://archive.org/details/stoicsepicureans00shar,"Stoics, Epicureans, and sceptics. بقلم R. W. Sharples. (1996). — Routledge. ردمك: 0415110343"
الرواقية والأبيقورية: الأخلاق والسعادة والحياة الطيبة.,https://smarticle.tech/ar/article/stoicism-and-epicureanism-ethics-happiness-and-the-good-life-202605121302,Ancient Philosophy,Can Stoicism inspire stuttering intervention? The clinical usefulness of an ancient philosophy.,https://doi.org/10.1111/1460-6984.12832,"كونري، إيه.، كافانا، إيه.، كولمان، آر. ""هل يمكن للرواقية أن تلهم التدخل في التأتأة؟ الفائدة السريرية لفلسفة قديمة"". semantic_scholar_foundational، 2022."
الرواقية والأبيقورية: الأخلاق والسعادة والحياة الطيبة.,https://smarticle.tech/ar/article/stoicism-and-epicureanism-ethics-happiness-and-the-good-life-202605121302,Ancient Philosophy,Greek Medicine Practice at Ancient Rome: The Physician Molecularist Asclepiades,https://doi.org/10.3390/medicines4040092,"سانتاكروس، إل.؛ بوتيليكو، إل.؛ كاريتوس، آي. إيه. ""الممارسة الطبية اليونانية في روما القديمة: الطبيب الجزيئي أسكليبياديس"". Medicines، 2017."
الرواقية والأبيقورية: الأخلاق والسعادة والحياة الطيبة.,https://smarticle.tech/ar/article/stoicism-and-epicureanism-ethics-happiness-and-the-good-life-202605121302,Ancient Philosophy,A Civic Alternative to Stoicism: The Ethics of Hellenistic Honorary Decrees,https://doi.org/10.1525/CA.2018.37.2.187,"جراي، ب. ""بديل مدني للرواقية: أخلاقيات المراسيم الفخرية الهلنستية"". Classical Antiquity، 2018."
ابن رشد (أفيروز): العقلانية، أرسطو، والعقل الفعال.,https://smarticle.tech/ar/article/ibn-rushd-averroes-rationalism-aristotle-and-the-active-intellect-202605121316,Islamic Philosophy,"The Muqaddimah, an introduction to history",https://archive.org/details/muqaddimatalalla008800,"The Muqaddimah, an introduction to history. بقلم Ibn Khaldūn، عبد الرحمن ابن خلدون Abdel Rahman Ibn Khaldun. (1858). — Routledge & K. Paul, in association with Secker and Warburg. ردمك: 0878500561"
ابن رشد (أفيروز): العقلانية، أرسطو، والعقل الفعال.,https://smarticle.tech/ar/article/ibn-rushd-averroes-rationalism-aristotle-and-the-active-intellect-202605121316,Islamic Philosophy,Nicomachean Ethics,https://archive.org/details/nicomacheanethic1865aris,Nicomachean Ethics. بقلم Aristotle. (1558). — Harvard University Press. ردمك: 1015407412
ابن رشد (أفيروز): العقلانية، أرسطو، والعقل الفعال.,https://smarticle.tech/ar/article/ibn-rushd-averroes-rationalism-aristotle-and-the-active-intellect-202605121316,Islamic Philosophy,"Alfarabi, Avicenna, and Averroes, on Intellect",https://books.google.com/books,"Alfarabi, Avicenna, and Averroes, on Intellect. بقلم Herbert A. Davidson. (1992). — Oxford University Press. ردمك: 9780195360776"
الفلسفة السياسية للفارابي: المدينة الفاضلة والملك الفيلسوف.,https://smarticle.tech/ar/article/al-farabi-s-political-philosophy-the-virtuous-city-and-philosopher-king-202605160149,Islamic Philosophy,Medieval political philosophy,https://archive.org/details/medievalpolitica00lern,Medieval political philosophy. بقلم Ralph Lerner. (1963). — Free Press. ردمك: 9780801491399
الفلسفة السياسية للفارابي: المدينة الفاضلة والملك الفيلسوف.,https://smarticle.tech/ar/article/al-farabi-s-political-philosophy-the-virtuous-city-and-philosopher-king-202605160149,Islamic Philosophy,Political thought in medieval Islam,https://archive.org/details/politicalthought0000rose,Political thought in medieval Islam. بقلم Erwin Isak Jakob Rosenthal. (1958). — University Press. ردمك: 9780313250941
الفلسفة السياسية للفارابي: المدينة الفاضلة والملك الفيلسوف.,https://smarticle.tech/ar/article/al-farabi-s-political-philosophy-the-virtuous-city-and-philosopher-king-202605160149,Islamic Philosophy,State and Government in Medieval Islam,https://openlibrary.org/works/OL20346800W,State and Government in Medieval Islam. بقلم Ann K. S. Lambton. (2013). — Routledge. ردمك: 9781136605208
الفلسفة السياسية للفارابي: المدينة الفاضلة والملك الفيلسوف.,https://smarticle.tech/ar/article/al-farabi-s-political-philosophy-the-virtuous-city-and-philosopher-king-202605160149,Islamic Philosophy,Al- farabi on the perfect state,https://openlibrary.org/works/OL824493W,Al- farabi on the perfect state. بقلم Fārābī. (1985). — Oxford University Press. ردمك: 9780198245056
الفلسفة السياسية للفارابي: المدينة الفاضلة والملك الفيلسوف.,https://smarticle.tech/ar/article/al-farabi-s-political-philosophy-the-virtuous-city-and-philosopher-king-202605160149,Islamic Philosophy,Al Farabi,https://openlibrary.org/works/OL23789923W,Al Farabi. بقلم Philippe Vallat. (2012). — Societe d'edition Les Belles lettres. ردمك: 2251183132
الفلسفة السياسية للفارابي: المدينة الفاضلة والملك الفيلسوف.,https://smarticle.tech/ar/article/al-farabi-s-political-philosophy-the-virtuous-city-and-philosopher-king-202605160149,Islamic Philosophy,On the perfect state,https://openlibrary.org/works/OL824486W,On the perfect state. بقلم Fārābī، Richard Walzer. (1998). — Distributed by KAZI Publications. ردمك: 1871031761
الفلسفة السياسية للفارابي: المدينة الفاضلة والملك الفيلسوف.,https://smarticle.tech/ar/article/al-farabi-s-political-philosophy-the-virtuous-city-and-philosopher-king-202605160149,Islamic Philosophy,Poetics,https://archive.org/details/artofpoetry00aris,Poetics. بقلم Aristotle. (1536). — NuVision Publications. ردمك: 1420925989
الفلسفة السياسية للفارابي: المدينة الفاضلة والملك الفيلسوف.,https://smarticle.tech/ar/article/al-farabi-s-political-philosophy-the-virtuous-city-and-philosopher-king-202605160149,Islamic Philosophy,La Poetica,https://archive.org/details/metaphysicsofari00aris,La Poetica. بقلم Aristotle. (1479). — Harvard University Press. ردمك: 9781430447160
الفلسفة السياسية للفارابي: المدينة الفاضلة والملك الفيلسوف.,https://smarticle.tech/ar/article/al-farabi-s-political-philosophy-the-virtuous-city-and-philosopher-king-202605160149,Islamic Philosophy,Aquinas,https://archive.org/details/selectedwritings0000thom_m2u0,Aquinas. بقلم Thomas Aquinas. (1948). — Franciscans of the Immaculate. ردمك: 0631129243
الفلسفة السياسية للفارابي: المدينة الفاضلة والملك الفيلسوف.,https://smarticle.tech/ar/article/al-farabi-s-political-philosophy-the-virtuous-city-and-philosopher-king-202605160149,Islamic Philosophy,THE DISAPPEARING PHILOSOPHER-KING,https://doi.org/10.4324/9780203201817-10,"بلاتو. ""الملك الفيلسوف الذي يتلاشى"". *كروسريف*، 2003."
الإبستمولوجيا الغزالية مقابل الأفيسينية لابن سينا: نقاش فلسفي.,https://smarticle.tech/ar/article/al-ghazali-s-epistemology-vs-ibn-sina-s-avicennism-a-philosophical-debate-202605160156,Islamic Philosophy,"Islamic Law, Epistemology and Modernity",https://openlibrary.org/works/OL8105040W,"Islamic Law, Epistemology and Modernity. بقلم Ashk Dahlen. (2003). — Taylor & Francis Group. ردمك: 9780415762403"
الإبستمولوجيا الغزالية مقابل الأفيسينية لابن سينا: نقاش فلسفي.,https://smarticle.tech/ar/article/al-ghazali-s-epistemology-vs-ibn-sina-s-avicennism-a-philosophical-debate-202605160156,Islamic Philosophy,The Principles of Epistemology in Islamic Philosophy,https://openlibrary.org/works/OL8357991W,The Principles of Epistemology in Islamic Philosophy. بقلم Mehdi Ha'Iri Yazdi. (1992). — State Univ of New York Pr. ردمك: 9780791409473
الإبستمولوجيا الغزالية مقابل الأفيسينية لابن سينا: نقاش فلسفي.,https://smarticle.tech/ar/article/al-ghazali-s-epistemology-vs-ibn-sina-s-avicennism-a-philosophical-debate-202605160156,Islamic Philosophy,Epistemology of the Quran,https://openlibrary.org/works/OL20831516W,Epistemology of the Quran. بقلم M. Ashraf Adeel. (2019). — Springer. ردمك: 303017557X
الإبستمولوجيا الغزالية مقابل الأفيسينية لابن سينا: نقاش فلسفي.,https://smarticle.tech/ar/article/al-ghazali-s-epistemology-vs-ibn-sina-s-avicennism-a-philosophical-debate-202605160156,Islamic Philosophy,Philosophy of Religion in Post-Revolutionary Iran,https://openlibrary.org/works/OL22147481W,Philosophy of Religion in Post-Revolutionary Iran. بقلم Heydar Shadi. (2018). — Taylor & Francis Group. ردمك: 9781315108766
الإبستمولوجيا الغزالية مقابل الأفيسينية لابن سينا: نقاش فلسفي.,https://smarticle.tech/ar/article/al-ghazali-s-epistemology-vs-ibn-sina-s-avicennism-a-philosophical-debate-202605160156,Islamic Philosophy,Philosophical instructions,https://openlibrary.org/works/OL10213730W,Philosophical instructions. بقلم Muhammad Taqi Misbah Yazdi، MuhÌ£ammad TaqiÌ MisÌ£baÌhÌ£ YazdiÌ، Ayatullah Muhammad Taqi Misbah Yazdi. (1999). — Global Publications. ردمك: 9781883058753
الإبستمولوجيا الغزالية مقابل الأفيسينية لابن سينا: نقاش فلسفي.,https://smarticle.tech/ar/article/al-ghazali-s-epistemology-vs-ibn-sina-s-avicennism-a-philosophical-debate-202605160156,Islamic Philosophy,Nazariyat al Mar'ifah Bayna al Qur'an Wa'l Falsafah Vol. 3,https://openlibrary.org/works/OL28807711W,"Nazariyat al Mar'ifah Bayna al Qur'an Wa'l Falsafah Vol. 3. بقلم Rajih A. Kurdi، Rabbaniyat al Ma'rifah، Wa Mawgifuha Min. (1991). — International Institute of Islamic Thought, The. ردمك: 9780912463476"
الإبستمولوجيا الغزالية مقابل الأفيسينية لابن سينا: نقاش فلسفي.,https://smarticle.tech/ar/article/al-ghazali-s-epistemology-vs-ibn-sina-s-avicennism-a-philosophical-debate-202605160156,Islamic Philosophy,Science and epistemology in the Koran,https://openlibrary.org/works/OL2626254W,Science and epistemology in the Koran. بقلم Masudul Alam Choudhury. (2006). — Edwin Mellen Press. ردمك: 0773460306
الإبستمولوجيا الغزالية مقابل الأفيسينية لابن سينا: نقاش فلسفي.,https://smarticle.tech/ar/article/al-ghazali-s-epistemology-vs-ibn-sina-s-avicennism-a-philosophical-debate-202605160156,Islamic Philosophy,"God and Humans in Islamic Thought: 'Abd al-Jabbar, Ibn Sina and al-Ghazali (review)",https://doi.org/10.1353/pew.2008.0020,"مارينبون، ج. ""الله والبشر في الفكر الإسلامي: عبد الجبار وابن سينا والغزالي (مراجعة)"". *فلسفة شرق وغرب*، 2008."
الإبستمولوجيا الغزالية مقابل الأفيسينية لابن سينا: نقاش فلسفي.,https://smarticle.tech/ar/article/al-ghazali-s-epistemology-vs-ibn-sina-s-avicennism-a-philosophical-debate-202605160156,Islamic Philosophy,Religion vs. Philosophy I—al-Ghazali,https://doi.org/10.2307/jj.809345.11,"الغزالي. ""الدين مقابل الفلسفة الأول—الغزالي"". كروسريف، 2023."
الرواقية الكارتيزية: الكوجيتو، الثنائية الجسدية‑العقلية، وطريقة الشك.,https://smarticle.tech/ar/article/cartesian-rationalism-cogito-mind-body-dualism-and-method-of-doubt-202605160202,Modern Philosophy,Philosophical writings,https://archive.org/details/philosophicalwri00desc,Philosophical writings. بقلم René Descartes. (1952). — Nelson. ردمك: 0171370996
الرواقية الكارتيزية: الكوجيتو، الثنائية الجسدية‑العقلية، وطريقة الشك.,https://smarticle.tech/ar/article/cartesian-rationalism-cogito-mind-body-dualism-and-method-of-doubt-202605160202,Modern Philosophy,Res cogitans,https://archive.org/details/rescogitansessay0000vend,Res cogitans. بقلم Zeno Vendler. (1972). — Cornell University Press. ردمك: 9781501743733
الرواقية الكارتيزية: الكوجيتو، الثنائية الجسدية‑العقلية، وطريقة الشك.,https://smarticle.tech/ar/article/cartesian-rationalism-cogito-mind-body-dualism-and-method-of-doubt-202605160202,Modern Philosophy,Cartesian Rationalism,https://openlibrary.org/works/OL21574303W,"Cartesian Rationalism. بقلم Zbigniew Drozdowicz. (2015). — Lang GmbH, Internationaler Verlag der Wissenschaften, Peter. ردمك: 9783653056112"
الرواقية الكارتيزية: الكوجيتو، الثنائية الجسدية‑العقلية، وطريقة الشك.,https://smarticle.tech/ar/article/cartesian-rationalism-cogito-mind-body-dualism-and-method-of-doubt-202605160202,Modern Philosophy,Divine Will and the Mechanical Philosophy,https://openlibrary.org/works/OL8305801W,Divine Will and the Mechanical Philosophy. بقلم Margaret J. Osler. (1994). — Cambridge University Press. ردمك: 9780521524926
الرواقية الكارتيزية: الكوجيتو، الثنائية الجسدية‑العقلية، وطريقة الشك.,https://smarticle.tech/ar/article/cartesian-rationalism-cogito-mind-body-dualism-and-method-of-doubt-202605160202,Modern Philosophy,Descartes and the Enlightenment,https://archive.org/details/descartesenlight0000scho,Descartes and the Enlightenment. بقلم Peter A. Schouls. (1989). — McGill-Queen's University Press. ردمك: 9780852245620
الرواقية الكارتيزية: الكوجيتو، الثنائية الجسدية‑العقلية، وطريقة الشك.,https://smarticle.tech/ar/article/cartesian-rationalism-cogito-mind-body-dualism-and-method-of-doubt-202605160202,Modern Philosophy,Cartesian women,https://archive.org/details/cartesianwomenve00hart,Cartesian women. بقلم Erica Harth. (1992). — Cornell University Press. ردمك: 0801427150
الرواقية الكارتيزية: الكوجيتو، الثنائية الجسدية‑العقلية، وطريقة الشك.,https://smarticle.tech/ar/article/cartesian-rationalism-cogito-mind-body-dualism-and-method-of-doubt-202605160202,Modern Philosophy,Cartesian Dualism: Bridging Descartes’ Mind-Body Dichotomy to Contemporary Psychology and Mental Health,https://doi.org/10.59652/jcpas.v3i2.513,"من تأليف كينيث كامارغو. ""الازدواجية الديكارتية: جسر ديكارت بين ثنائية العقل والجسد وعلم النفس المعاصر والصحة العقلية"". كروسريف، 2025."
الرواقية الكارتيزية: الكوجيتو، الثنائية الجسدية‑العقلية، وطريقة الشك.,https://smarticle.tech/ar/article/cartesian-rationalism-cogito-mind-body-dualism-and-method-of-doubt-202605160202,Modern Philosophy,Descartes on Mind and Body,https://doi.org/10.5840/cogito1988229,"من تأليف جون كوتينغهام. ""ديكارت عن العقل والجسد"". كروسريف، 1988."
الرواقية الكارتيزية: الكوجيتو، الثنائية الجسدية‑العقلية، وطريقة الشك.,https://smarticle.tech/ar/article/cartesian-rationalism-cogito-mind-body-dualism-and-method-of-doubt-202605160202,Modern Philosophy,Mind-Body Dualism and the Harvey-Descartes Controversy,https://doi.org/10.2307/2709897,"من تأليف جيفري غورهام. ""الازدواجية العقل والجسد والجدل بين هارفي وديكارت"". *كروسريف*، 1994."
الإبستمولوجيا الكانطية: فئات الفهم والمعرفة التركيبية السابقة للخبرة.,https://smarticle.tech/ar/article/kantian-epistemology-categories-of-understanding-and-the-synthetic-a-priori-202605160211,Modern Philosophy,Kritik der Urteilskraft,https://archive.org/details/critiquekantaest00kantuoft,Kritik der Urteilskraft. بقلم Immanuel Kant. (1793). — Konemann. ردمك: 0760762023
الإبستمولوجيا الكانطية: فئات الفهم والمعرفة التركيبية السابقة للخبرة.,https://smarticle.tech/ar/article/kantian-epistemology-categories-of-understanding-and-the-synthetic-a-priori-202605160211,Modern Philosophy,Die Welt als Wille und Vorstellung,https://archive.org/details/worldaswillidea02scho_0,Die Welt als Wille und Vorstellung. بقلم Arthur Schopenhauer. (1819). — Digireads.com Pub.. ردمك: 9798760673473
الإبستمولوجيا الكانطية: فئات الفهم والمعرفة التركيبية السابقة للخبرة.,https://smarticle.tech/ar/article/kantian-epistemology-categories-of-understanding-and-the-synthetic-a-priori-202605160211,Modern Philosophy,The Kantian epistemology and theism,https://archive.org/details/kantianepistemol00hodgrich,"The Kantian epistemology and theism. بقلم Hodge, Caspar Wistar Jr.. (1894). — MacCalla & Co."
الإبستمولوجيا الكانطية: فئات الفهم والمعرفة التركيبية السابقة للخبرة.,https://smarticle.tech/ar/article/kantian-epistemology-categories-of-understanding-and-the-synthetic-a-priori-202605160211,Modern Philosophy,Kantian Epistemology and Theism,https://openlibrary.org/works/OL37682294W,"Kantian Epistemology and Theism. بقلم Caspar Wistar Hodge. (2023). — Creative Media Partners, LLC. ردمك: 9781020923944"
الإبستمولوجيا الكانطية: فئات الفهم والمعرفة التركيبية السابقة للخبرة.,https://smarticle.tech/ar/article/kantian-epistemology-categories-of-understanding-and-the-synthetic-a-priori-202605160211,Modern Philosophy,Who's Afraid of Idealism?,https://openlibrary.org/works/OL8499966W,Who's Afraid of Idealism?. بقلم Luis M. Augusto، Luis M. Augusto. (2005). — University Press of America. ردمك: 9780761832973
الإبستمولوجيا الكانطية: فئات الفهم والمعرفة التركيبية السابقة للخبرة.,https://smarticle.tech/ar/article/kantian-epistemology-categories-of-understanding-and-the-synthetic-a-priori-202605160211,Modern Philosophy,"Readings in epistemology from Descartes, Locke, Berkeley, Hume, Kant",https://openlibrary.org/works/OL18406335W,"Readings in epistemology from Descartes, Locke, Berkeley, Hume, Kant. بقلم Vincent G. Potter. (1986). — Fordham University Press. ردمك: 0823213080"
الإبستمولوجيا الكانطية: فئات الفهم والمعرفة التركيبية السابقة للخبرة.,https://smarticle.tech/ar/article/kantian-epistemology-categories-of-understanding-and-the-synthetic-a-priori-202605160211,Modern Philosophy,Synthetic a priori and mathematical account in Kant's philosophy,https://openlibrary.org/works/OL23453797W,Synthetic a priori and mathematical account in Kant's philosophy. بقلم Giacomo Maria Virone. (2012). — LED. ردمك: 8879165992
الإبستمولوجيا الكانطية: فئات الفهم والمعرفة التركيبية السابقة للخبرة.,https://smarticle.tech/ar/article/kantian-epistemology-categories-of-understanding-and-the-synthetic-a-priori-202605160211,Modern Philosophy,"Locke, Kant, and Synthetic A Priori Cognition",https://doi.org/10.1515/kantyb-2015-0003,"برايان إيه. تشانس. ""لوك، كانط، والإدراك الاستنباطي التركيبي القبلي"". *كروسريف*، 2015."
الإبستمولوجيا الكانطية: فئات الفهم والمعرفة التركيبية السابقة للخبرة.,https://smarticle.tech/ar/article/kantian-epistemology-categories-of-understanding-and-the-synthetic-a-priori-202605160211,Modern Philosophy,The Synthetic A Priori in Strawson ‘s Kantianism,https://doi.org/10.1093/oso/9780199252824.003.0007,"باري سترود. ""الاستنباطي التركيبي القبلي في كانطية ستروسون"". *كروسريف*، 2003."
الإبستمولوجيا الكانطية: فئات الفهم والمعرفة التركيبية السابقة للخبرة.,https://smarticle.tech/ar/article/kantian-epistemology-categories-of-understanding-and-the-synthetic-a-priori-202605160211,Modern Philosophy,Kant and Husserl on the Synthetic A Priori,https://doi.org/10.1515/kant.1972.63.1-4.341,"كينيث تي. غالاغر. ""كانط وهوسرل حول الاستنباطي التركيبي القبلي"". *كانت-شتودين*، 1972."
الإمبريالية البريطانية: لوك حول الأفكار، هيوم حول السببية، وحدود المعرفة.,https://smarticle.tech/ar/article/british-empiricism-locke-on-ideas-hume-on-causation-and-the-limits-of-knowl-202605160219,Modern Philosophy,A history of philosophy,https://archive.org/details/historyofphiloso0003copl_i3g7,A history of philosophy. بقلم Frederick Charles Copleston. (1900). — Newman Bookshop. ردمك: 0855321814
الإمبريالية البريطانية: لوك حول الأفكار، هيوم حول السببية، وحدود المعرفة.,https://smarticle.tech/ar/article/british-empiricism-locke-on-ideas-hume-on-causation-and-the-limits-of-knowl-202605160219,Modern Philosophy,Essays and treatises on several subjects,https://archive.org/details/essaysandtreati28humegoog,Essays and treatises on several subjects. بقلم David Hume. (1753). — Printed for A. Millar
الإمبريالية البريطانية: لوك حول الأفكار، هيوم حول السببية، وحدود المعرفة.,https://smarticle.tech/ar/article/british-empiricism-locke-on-ideas-hume-on-causation-and-the-limits-of-knowl-202605160219,Modern Philosophy,The Varieties of Religious Experience,https://archive.org/details/varietiesofrelig0000jame_l3u3,The Varieties of Religious Experience. بقلم William James، Dr. William James، WILLIAM JAMES. (1817). — Image Books. ردمك: 9781726136587
الإمبريالية البريطانية: لوك حول الأفكار، هيوم حول السببية، وحدود المعرفة.,https://smarticle.tech/ar/article/british-empiricism-locke-on-ideas-hume-on-causation-and-the-limits-of-knowl-202605160219,Modern Philosophy,"Language, truth and logic",https://archive.org/details/AlfredAyer,"Language, truth and logic. بقلم A. J. Ayer. (1936). — Penguin. ردمك: 0140136592"
الإمبريالية البريطانية: لوك حول الأفكار، هيوم حول السببية، وحدود المعرفة.,https://smarticle.tech/ar/article/british-empiricism-locke-on-ideas-hume-on-causation-and-the-limits-of-knowl-202605160219,Modern Philosophy,Essays in radical empiricism,https://archive.org/details/essaysinradicale00jame,Essays in radical empiricism. بقلم William James. (1912). — University of Nebraska Press. ردمك: 9780803275898
الإمبريالية البريطانية: لوك حول الأفكار، هيوم حول السببية، وحدود المعرفة.,https://smarticle.tech/ar/article/british-empiricism-locke-on-ideas-hume-on-causation-and-the-limits-of-knowl-202605160219,Modern Philosophy,Experience and nature,https://archive.org/details/experiencenature00dewe_487,Experience and nature. بقلم John Dewey. (1925). — Open court Publishing Company. ردمك: 0875480977
