المفهوم الأكاديمي,رابط المفهوم على سمارتيكل,التخصص الفرعي,عنوان المرجع الأكاديمي,رابط المرجع المباشر,التوثيق المنسق
الفقه الإسلامي: مصادر القانون، المدارس الفقهية، والاجتهاد.,https://smarticle.tech/ar/article/islamic-jurisprudence-fiqh-sources-of-law-legal-schools-and-ijtihad-202605130605,Islam,The Concept of Taghyir in Al-Bazdawi’s Usul al-Fiqh and Its Relevance to Contract Law in the Compilation of Islamic Economic Law in Indonesia,https://doi.org/10.31436/ijfus.v9i1.362,"هنيت هدايات. ""مفهوم التغيير في أصول الفقه عند البزدوي وعلاقته بقانون العقود في تجميع القانون الاقتصادي الإسلامي في إندونيسيا"". كروسريف، 2025."
الفقه الإسلامي: مصادر القانون، المدارس الفقهية، والاجتهاد.,https://smarticle.tech/ar/article/islamic-jurisprudence-fiqh-sources-of-law-legal-schools-and-ijtihad-202605130605,Islam,New Sources for the History of the Beginnings of Islamic Jurisprudence,https://doi.org/10.1163/9789004491533_005,"هارالد موتزكي. ""مصادر جديدة لتاريخ بدايات الفقه الإسلامي"". كروسريف، 2002."
الفقه الإسلامي: مصادر القانون، المدارس الفقهية، والاجتهاد.,https://smarticle.tech/ar/article/islamic-jurisprudence-fiqh-sources-of-law-legal-schools-and-ijtihad-202605130605,Islam,The Beginnings of Islamic Jurisprudence in the Research of the Nineteenth and Twentieth Centuries,https://doi.org/10.1163/9789004491533_004,"هارالد موتزكي. ""بدايات الفقه الإسلامي في بحوث القرنين التاسع عشر والعشرين"". كروسريف، 2002."
الفقه الإسلامي: مصادر القانون، المدارس الفقهية، والاجتهاد.,https://smarticle.tech/ar/article/islamic-jurisprudence-fiqh-sources-of-law-legal-schools-and-ijtihad-202605130605,Islam,4. Islamic Law: Its ‘Sources’ (Uṣūl al-fiqh) and Ijtihād,https://doi.org/10.1515/9783110825800.78,"القانون الإسلامي: ""مصادره (أصول الفقه) والاجتهاد"". *كروسريف*، 1981."
الفقه الإسلامي: مصادر القانون، المدارس الفقهية، والاجتهاد.,https://smarticle.tech/ar/article/islamic-jurisprudence-fiqh-sources-of-law-legal-schools-and-ijtihad-202605130605,Islam,The Beginnings of Islamic Jurisprudence,https://doi.org/10.1163/9789004491533_007,"هارالد موتزكي. ""بدايات الفقه الإسلامي"". *كروسريف*، 2002."
الفقه الإسلامي: مصادر القانون، المدارس الفقهية، والاجتهاد.,https://smarticle.tech/ar/article/islamic-jurisprudence-fiqh-sources-of-law-legal-schools-and-ijtihad-202605130605,Islam,The Origins of Islamic Jurisprudence,https://doi.org/10.1163/9789004491533,"هارالد موتزكي. ""أصول الفقه الإسلامي"". كروسريف، 2002."
علوم القرآن ومنهجية الحديث: الوحي، النقل، والتحقق.,https://smarticle.tech/ar/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,Ravishʹshināsī-i tārīkhī dar ʻulūm-i Qurʼān va Ḥadīs̲,https://openlibrary.org/works/OL23236117W,Ravishʹshināsī-i tārīkhī dar ʻulūm-i Qurʼān va Ḥadīs̲. بقلم Muḥammad Ḥasan Aḥmadī. (2014). — Intishārāt-i Dānishgāh-i Qum. ردمك: 9648261962
علوم القرآن ومنهجية الحديث: الوحي، النقل، والتحقق.,https://smarticle.tech/ar/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,Jamʻ al-fawāʾid min Jāmiʻ al-uṣūl wa-Majmaʻ al-zawāʾid,https://openlibrary.org/works/OL4766792W,Jamʻ al-fawāʾid min Jāmiʻ al-uṣūl wa-Majmaʻ al-zawāʾid. بقلم Muḥammad ibn Muḥammad Rūdānī. (1985). — Bank Fayṣal al-Islāmī
علوم القرآن ومنهجية الحديث: الوحي، النقل، والتحقق.,https://smarticle.tech/ar/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,ʻUyūn muntakhabah min istidrākāt Ibn al-Muẓaffar al-Rāzī ʻalaʹ tafsīr al-Thaʻlabī,https://openlibrary.org/works/OL32322753W,ʻUyūn muntakhabah min istidrākāt Ibn al-Muẓaffar al-Rāzī ʻalaʹ tafsīr al-Thaʻlabī. بقلم ʻAbd Allāh Rajab Mūsá. (2020). — Dār al-Khazānah al-Azharīyah lil-Dirāsāt wa-al-Nashr. ردمك: 9789068756
علوم القرآن ومنهجية الحديث: الوحي، النقل، والتحقق.,https://smarticle.tech/ar/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,al-Wajīz fī ʻilm al-uṣūl,https://openlibrary.org/works/OL39222384W,al-Wajīz fī ʻilm al-uṣūl. بقلم Muḥammad ʻAbd al-Muʻṭī. (2002). — Dār al-Tawzīʻ wa-al-Nashr al-Islāmīyah. ردمك: 9772653583
علوم القرآن ومنهجية الحديث: الوحي، النقل، والتحقق.,https://smarticle.tech/ar/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,al-Bayān fī mutashābihāt al-Qurʼān al-karīm bi-ḥāshiyat al-muṣḥaf al-sharīf bi-Riwāyat Ḥafṣ ʻan ʻĀṣim bi-al-rasm al-ʻUthmānī,https://openlibrary.org/works/OL32317967W,al-Bayān fī mutashābihāt al-Qurʼān al-karīm bi-ḥāshiyat al-muṣḥaf al-sharīf bi-Riwāyat Ḥafṣ ʻan ʻĀṣim bi-al-rasm al-ʻUthmānī. بقلم Dawlat Muḥammad Aḥmadī Mūsá ʻImrān. (2018). — Dawlat Muḥammad Aḥmadī Mūsá ʻImrān. ردمك: 9789779052410
علوم القرآن ومنهجية الحديث: الوحي، النقل، والتحقق.,https://smarticle.tech/ar/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,Uṣūl al-fikr al-tarbawī fī al-Islām,https://openlibrary.org/works/OL4768153W,Uṣūl al-fikr al-tarbawī fī al-Islām. بقلم ʻAbbās Maḥjūb. (1987). — ʻĀlam al-Kutub al-Ḥadīth. ردمك: 9789957466633
علوم القرآن ومنهجية الحديث: الوحي، النقل، والتحقق.,https://smarticle.tech/ar/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,Muqawwamāt al-dawlah al-Islāmīyah al-ḥadīthah,https://openlibrary.org/works/OL44688794W,Muqawwamāt al-dawlah al-Islāmīyah al-ḥadīthah. بقلم Muḥammad ʻAlī Abū Ḥamdah. (1999)
علوم القرآن ومنهجية الحديث: الوحي، النقل، والتحقق.,https://smarticle.tech/ar/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,مباحث في طرائق تدريس العلوم الشرعية,https://openlibrary.org/works/OL37003078W,مباحث في طرائق تدريس العلوم الشرعية. بقلم Ḥusām ʻAbd al-Malik ʻAbdalī. (2008). — Dār al-Nahḍah lil-Ṭibāʻah wa-al-Nashr wa-al-Tawzīʻ
علوم القرآن ومنهجية الحديث: الوحي، النقل، والتحقق.,https://smarticle.tech/ar/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,The Qur’an and Authentication of Hadith,https://doi.org/10.2307/j.ctvkc67mk.7,"أندرو ريبين. ""القرآن وتوثيق الحديث"". *كروسريف*، 2010."
علوم القرآن ومنهجية الحديث: الوحي، النقل، والتحقق.,https://smarticle.tech/ar/article/quranic-sciences-and-hadith-methodology-revelation-transmission-and-authent-202605150225,Islam,Authentication of Hadith Through Sound Reasoning,https://doi.org/10.2307/j.ctvkc67mk.9,"المازني، محمد مصطفى. ""توثيق الحديث من خلال الاستدلال السليم"". كروسريف، 2010."
اللاهوت المسيحي: ألوهية المسيح، الثالوث، ومجالس العقيدة.,https://smarticle.tech/ar/article/christian-theology-christology-trinity-and-the-doctrinal-councils-202605150243,Christianity,The One and the Many,https://openlibrary.org/works/OL22374504W,"The One and the Many. بقلم John D. Zizioulas، Fr. Gregory Edwards، Stamatis Skliris. (2010). — Western American Diocese, Sebastian Press. ردمك: 0971950547"
اللاهوت المسيحي: ألوهية المسيح، الثالوث، ومجالس العقيدة.,https://smarticle.tech/ar/article/christian-theology-christology-trinity-and-the-doctrinal-councils-202605150243,Christianity,Imperial Law or Councils of the Church? Theodosius I and the Imposition of Doctrinal Uniformity,https://doi.org/10.1017/s0424208400003107,"هانت، إي. د. ""القانون الإمبراطوري أم مجالس الكنيسة؟ ثيودوسيوس الأول وفرض الوحدة العقائدية"". *كروسريف*، 2007."
اللاهوت المسيحي: ألوهية المسيح، الثالوث، ومجالس العقيدة.,https://smarticle.tech/ar/article/christian-theology-christology-trinity-and-the-doctrinal-councils-202605150243,Christianity,"The Doctrinal Significance of the Councils of Nicaea, Ephesus, and Chalcedon",https://doi.org/10.1093/oxfordhb/9780199641901.013.49,"الأهمية العقائدية لمجالس نيقية، أفسس، وخلقيدونية. ""الأهمية العقائدية لمجالس نيقية، أفسس، وخلقيدونية"". *دليل أكسفورد للدراسات المسيحية المبكرة*، 2024."
اللاهوت المسيحي: ألوهية المسيح، الثالوث، ومجالس العقيدة.,https://smarticle.tech/ar/article/christian-theology-christology-trinity-and-the-doctrinal-councils-202605150243,Christianity,"Creeds, councils and doctrinal development",https://doi.org/10.4324/9780203470626-37,"كروس، ر. ""العقائد، المجالس، والتطور العقائدي"". *كروسريف*، 2002."
اللاهوت المسيحي: ألوهية المسيح، الثالوث، ومجالس العقيدة.,https://smarticle.tech/ar/article/christian-theology-christology-trinity-and-the-doctrinal-councils-202605150243,Christianity,The Papacy and Councils from the Beginnings until Leo I (440–461). Studies on the Origins of the Pope’s Superordination over Councils,https://doi.org/10.5840/philhist198316296,"إرنست-ديتر ههل. ""الكرسي الرسولي والمجالس من البداية وحتى ليو الأول (440–461)"". دراسات حول أصول تفوق البابا على المجالس، 1983."
اللاهوت المسيحي: ألوهية المسيح، الثالوث، ومجالس العقيدة.,https://smarticle.tech/ar/article/christian-theology-christology-trinity-and-the-doctrinal-councils-202605150243,Christianity,"Heresies, Doctrinal Controversies, and Church Councils",https://doi.org/10.1093/0198270119.005.0001,البدع، الخلافات العقائدية، ومجالس الكنيسة. *كروسريف*، 2002.
التفسير الكتابي: أساليب التفسير من العصور البطريركية إلى البحث الحديث.,https://smarticle.tech/ar/article/biblical-exegesis-methods-of-interpretation-from-patristic-to-modern-schola-202605150255,Christianity,Bible,https://archive.org/details/holybiblesoarran01unse,Bible. بقلم Bible. (1200). — E.F. Backus. ردمك: 0564069019
التفسير الكتابي: أساليب التفسير من العصور البطريركية إلى البحث الحديث.,https://smarticle.tech/ar/article/biblical-exegesis-methods-of-interpretation-from-patristic-to-modern-schola-202605150255,Christianity,Was ist Formgeschichte?,https://archive.org/details/growthofbiblical00koch,"Was ist Formgeschichte?. بقلم Koch, Klaus. (1964). — Neukirchener Verlag des Erziehungsvereins. ردمك: 9780713601350"
التفسير الكتابي: أساليب التفسير من العصور البطريركية إلى البحث الحديث.,https://smarticle.tech/ar/article/biblical-exegesis-methods-of-interpretation-from-patristic-to-modern-schola-202605150255,Christianity,Exegesis,https://openlibrary.org/works/OL18244033W,Exegesis. بقلم Gérald Antoine، François Bovon، Donald G. Miller. (1978). — Pickwick Press. ردمك: 9780915138258
التفسير الكتابي: أساليب التفسير من العصور البطريركية إلى البحث الحديث.,https://smarticle.tech/ar/article/biblical-exegesis-methods-of-interpretation-from-patristic-to-modern-schola-202605150255,Christianity,Rendering the Word in Theological Hermeneutics,https://openlibrary.org/works/OL9491694W,Rendering the Word in Theological Hermeneutics. بقلم Mark Alan Bowald. (2007). — Ashgate. ردمك: 1315605333
التفسير الكتابي: أساليب التفسير من العصور البطريركية إلى البحث الحديث.,https://smarticle.tech/ar/article/biblical-exegesis-methods-of-interpretation-from-patristic-to-modern-schola-202605150255,Christianity,Biblical interpretation,https://archive.org/details/biblicalinterpre0000tate,Biblical interpretation. بقلم W. Randolph Tate. (1991). — Hendrickson Publishers. ردمك: 9781598560800
التفسير الكتابي: أساليب التفسير من العصور البطريركية إلى البحث الحديث.,https://smarticle.tech/ar/article/biblical-exegesis-methods-of-interpretation-from-patristic-to-modern-schola-202605150255,Christianity,The mind of Mark,https://openlibrary.org/works/OL5902466W,The mind of Mark. بقلم Quentin Quesnell. (1969). — Pontifical Biblical Institute
التفسير الكتابي: أساليب التفسير من العصور البطريركية إلى البحث الحديث.,https://smarticle.tech/ar/article/biblical-exegesis-methods-of-interpretation-from-patristic-to-modern-schola-202605150255,Christianity,Patristic Theories of Biblical Interpretation,https://doi.org/10.1017/cbo9781107588967,"Patristic Theories of Biblical Interpretation. ""Patristic Theories of Biblical Interpretation"". Cambridge University Press, 2016."
التفسير الكتابي: أساليب التفسير من العصور البطريركية إلى البحث الحديث.,https://smarticle.tech/ar/article/biblical-exegesis-methods-of-interpretation-from-patristic-to-modern-schola-202605150255,Christianity,"Biblical Interpretation in the Patristic Era, A 'Handbook of Patristic Exegesis' and Some Other Recent Books and Related Projects",https://doi.org/10.1163/157007206775567924,"van Oort, Johannes. ""Biblical Interpretation in the Patristic Era, A 'Handbook of Patristic Exegesis' and Some Other Recent Books and Related Projects"". *crossref*, 2006."
التفسير الكتابي: أساليب التفسير من العصور البطريركية إلى البحث الحديث.,https://smarticle.tech/ar/article/biblical-exegesis-methods-of-interpretation-from-patristic-to-modern-schola-202605150255,Christianity,Patristic Theories of Biblical Interpretation: The Latin Fathers. Edited by Tarmo Toom.,https://doi.org/10.1093/jts/flx221,"Keech, Dominic. ""Patristic Theories of Biblical Interpretation: The Latin Fathers"". *Journal of Theological Studies*, 2017."
التفسير الكتابي: أساليب التفسير من العصور البطريركية إلى البحث الحديث.,https://smarticle.tech/ar/article/biblical-exegesis-methods-of-interpretation-from-patristic-to-modern-schola-202605150255,Christianity,The Complex Background of Biblical Interpretation,https://doi.org/10.5040/9780567660695.ch-001,"The Complex Background of Biblical Interpretation. *crossref*, 1995."
تاريخ الكنيسة المبكر: العصر الرسولي، الاضطهاد، ومجلس نيقية.,https://smarticle.tech/ar/article/early-church-history-the-apostolic-age-persecution-and-the-council-of-nicae-202605150301,Christianity,Bible,https://archive.org/details/holybiblesoarran01unse,Bible. بقلم Bible. (1200). — E.F. Backus. ردمك: 0564069019
تاريخ الكنيسة المبكر: العصر الرسولي، الاضطهاد، ومجلس نيقية.,https://smarticle.tech/ar/article/early-church-history-the-apostolic-age-persecution-and-the-council-of-nicae-202605150301,Christianity,A Source Book for Ancient Church History,https://www.gutenberg.org/ebooks/24979,"A Source Book for Ancient Church History. بقلم Ayer, Joseph Cullen. — Project Gutenberg"
تاريخ الكنيسة المبكر: العصر الرسولي، الاضطهاد، ومجلس نيقية.,https://smarticle.tech/ar/article/early-church-history-the-apostolic-age-persecution-and-the-council-of-nicae-202605150301,Christianity,Church History (Volumes 1-3),https://www.gutenberg.org/ebooks/51491,"Church History (Volumes 1-3). بقلم Kurtz, J. H. (Johann Heinrich). — Project Gutenberg"
تاريخ الكنيسة المبكر: العصر الرسولي، الاضطهاد، ومجلس نيقية.,https://smarticle.tech/ar/article/early-church-history-the-apostolic-age-persecution-and-the-council-of-nicae-202605150301,Christianity,"<i>Christianity in the Apostolic Age</i>. George T. Purves<i>Ten Epochs of Church History: The Apostolic Age, Its Life, Doctrine, Worship, and Polity<",https://doi.org/10.1086/477715,"بورفس، جورج تي. ""المسيحية في العصر الرسولي"". *عشرة عصور من تاريخ الكنيسة: العصر الرسولي، حياته، عقائده، عبادته، ونظامه الكنسي*، 1901."
تاريخ الكنيسة المبكر: العصر الرسولي، الاضطهاد، ومجلس نيقية.,https://smarticle.tech/ar/article/early-church-history-the-apostolic-age-persecution-and-the-council-of-nicae-202605150301,Christianity,MARTYRDOM AND PERSECUTION IN THE EARLY CHURCH*,https://doi.org/10.1111/j.1468-229x.1967.tb01198.x,"ماتينغلي، هارولد ب. ""الاستشهاد والاضطهاد في الكنيسة المبكرة"". *كروسريف*، 1967."
تاريخ الكنيسة المبكر: العصر الرسولي، الاضطهاد، ومجلس نيقية.,https://smarticle.tech/ar/article/early-church-history-the-apostolic-age-persecution-and-the-council-of-nicae-202605150301,Christianity,Martyrdom and Persecution in the Early Church. A Study of a Conflict from the Maccabees to Donatus,https://doi.org/10.2307/4346622,"هاموند، ماسون، وويليام إتش. سي. فرند. ""الاستشهاد والاضطهاد في الكنيسة المبكرة. دراسة صراع من المكابيين إلى دوناتوس"". *كروسريف*، 1968."
تاريخ الكنيسة المبكر: العصر الرسولي، الاضطهاد، ومجلس نيقية.,https://smarticle.tech/ar/article/early-church-history-the-apostolic-age-persecution-and-the-council-of-nicae-202605150301,Christianity,Martyrdom and Persecution in the Early Church,https://doi.org/10.1111/j.1467-9809.1969.tb00310.x,"جي. إس. آر. توماس. ""الاستشهاد والاضطهاد في الكنيسة المبكرة"". *كروسريف*، 1969."
تاريخ الكنيسة المبكر: العصر الرسولي، الاضطهاد، ومجلس نيقية.,https://smarticle.tech/ar/article/early-church-history-the-apostolic-age-persecution-and-the-council-of-nicae-202605150301,Christianity,"Nicaea, Council of",https://doi.org/10.1002/9781444338386.wbeah05125,"وينريش لهر. ""مجمع نيقية"". *كروسريف*، 2012."
تاريخ الكنيسة المبكر: العصر الرسولي، الاضطهاد، ومجلس نيقية.,https://smarticle.tech/ar/article/early-church-history-the-apostolic-age-persecution-and-the-council-of-nicae-202605150301,Christianity,ORIGIN AND EARLY HISTORY OF THE APOSTOLIC OFFICE,https://doi.org/10.1163/9789047404293_002,"ثيودور كورتيويغ. ""الأصل والتاريخ المبكر للمكتب الرسولي"". *كروسريف*، 2004."
تاريخ الكنيسة المبكر: العصر الرسولي، الاضطهاد، ومجلس نيقية.,https://smarticle.tech/ar/article/early-church-history-the-apostolic-age-persecution-and-the-council-of-nicae-202605150301,Christianity,The Early Church (from The Apostolic Age to the Council of Nicaea),https://doi.org/10.4324/9780203099636-2,"كريس كوك. ""الكنيسة المبكرة (من العصر الرسولي إلى مجمع نيقية)"". *كروسريف*، 2020."
اللاهوت اليهودي: التوحيد، العهد، والفكر الحاخامي.,https://smarticle.tech/ar/article/jewish-theology-monotheism-covenant-and-rabbinic-thought-202605160321,Judaism,Bible,https://archive.org/details/holybiblesoarran01unse,Bible. بقلم Bible. (1200). — E.F. Backus. ردمك: 0564069019
اللاهوت اليهودي: التوحيد، العهد، والفكر الحاخامي.,https://smarticle.tech/ar/article/jewish-theology-monotheism-covenant-and-rabbinic-thought-202605160321,Judaism,The guide of the perplexed of Maimonides,https://archive.org/details/leguidedesegares03maim,The guide of the perplexed of Maimonides. بقلم Moses Maimonides. (1473). — Yediʻot aḥaronot : Sifre Ḥemed. ردمك: 1602065004
اللاهوت اليهودي: التوحيد، العهد، والفكر الحاخامي.,https://smarticle.tech/ar/article/jewish-theology-monotheism-covenant-and-rabbinic-thought-202605160321,Judaism,"Jewish Theology, Systematically and Historically Considered",https://www.gutenberg.org/ebooks/32722,"Jewish Theology, Systematically and Historically Considered. بقلم Kohler, Kaufmann. — Project Gutenberg"
اللاهوت اليهودي: التوحيد، العهد، والفكر الحاخامي.,https://smarticle.tech/ar/article/jewish-theology-monotheism-covenant-and-rabbinic-thought-202605160321,Judaism,Kitāb al-farāʾid,https://archive.org/details/MN40359ucmf_0,Kitāb al-farāʾid. بقلم Moses Maimonides. (1515). — Brothers Levin-Epstein. ردمك: 9789654170147
اللاهوت اليهودي: التوحيد، العهد، والفكر الحاخامي.,https://smarticle.tech/ar/article/jewish-theology-monotheism-covenant-and-rabbinic-thought-202605160321,Judaism,Ich und du,https://archive.org/details/jeettu0000mart,Ich und du. بقلم Martin Buber. (1922). — L. Schneider. ردمك: 1578989973
اللاهوت اليهودي: التوحيد، العهد، والفكر الحاخامي.,https://smarticle.tech/ar/article/jewish-theology-monotheism-covenant-and-rabbinic-thought-202605160321,Judaism,Kitāb al-ḥujjah,https://archive.org/details/kuzarikitabalkha0000juda,Kitāb al-ḥujjah. بقلم Judah ha-Levi، Ha-Levi Judah، N. Daniel Korobkin. (1546). — Nidpas ʻa.y. Zoʾan di Garah. ردمك: 9781583308424
اللاهوت اليهودي: التوحيد، العهد، والفكر الحاخامي.,https://smarticle.tech/ar/article/jewish-theology-monotheism-covenant-and-rabbinic-thought-202605160321,Judaism,Tractatus theologico-politicus,https://archive.org/details/tractatustheolog00elweuoft,Tractatus theologico-politicus. بقلم Benedictus de Spinoza، Seymour Feldman. (1670). — Williams and Norgate. ردمك: 3534059565
اللاهوت اليهودي: التوحيد، العهد، والفكر الحاخامي.,https://smarticle.tech/ar/article/jewish-theology-monotheism-covenant-and-rabbinic-thought-202605160321,Judaism,De bello judaico,https://archive.org/details/nybc203940,De bello judaico. بقلم Flavius Josephus. (1481). — Sovremennyĭ  literator. ردمك: 9780140440904
اللاهوت اليهودي: التوحيد، العهد، والفكر الحاخامي.,https://smarticle.tech/ar/article/jewish-theology-monotheism-covenant-and-rabbinic-thought-202605160321,Judaism,Summa Theologica,https://archive.org/details/ITheSummaTheologicaOfStThomas,"Summa Theologica. بقلم Thomas Aquinas، Kennedy, Daniel Joseph, 1862-1930. (1467). — Prentice Hall. ردمك: 9780521029445"
اللاهوت اليهودي: التوحيد، العهد، والفكر الحاخامي.,https://smarticle.tech/ar/article/jewish-theology-monotheism-covenant-and-rabbinic-thought-202605160321,Judaism,A Classical Ethical Problem in Ancient Philosophy and Rabbinic Thought: The Case of the Shipwrecked,https://doi.org/10.1017/s0017816013000072,"بيرثيلوت، كاتيل. ""مشكلة أخلاقية كلاسيكية في الفلسفة القديمة والفكر الحاخامي: قضية الغرقى بالسفينة"". *مراجعة هارفارد اللاهوتية*، 2013."
