Academic Concept,Concept URL,Subcategory,Reference Title,Reference URL,Citation
Calculus and Real Analysis,https://smarticle.tech/en/article/calculus-and-real-analysis-202605120409,Mathematics,The Mathematical Analysis of Logic: Being an Essay Towards a Calculus of Deductive Reasoning,https://www.gutenberg.org/ebooks/36884,"The Mathematical Analysis of Logic: Being an Essay Towards a Calculus of Deductive Reasoning. by Boole, George. — Project Gutenberg"
Calculus and Real Analysis,https://smarticle.tech/en/article/calculus-and-real-analysis-202605120409,Mathematics,Tractatus logico-philosophicus,https://archive.org/details/tractatuslogicop1971witt,"Tractatus logico-philosophicus. by Ludwig Wittgenstein, Isidoro Reguera Pérez, Ivo Hernández. (1921). — K. Paul, Trench, Trubner & co., ltd.. ISBN: 8430938095"
Calculus and Real Analysis,https://smarticle.tech/en/article/calculus-and-real-analysis-202605120409,Mathematics,"A Comprehensive Survey of Continual Learning: Theory, Method and Application",https://arxiv.org/abs/2302.00487,"Liyuan Wang, Xingxing Zhang, Hang Su, Jun Zhu. ""A Comprehensive Survey of Continual Learning: Theory, Method and Application"". semantic_scholar_foundational, 2023."
Calculus and Real Analysis,https://smarticle.tech/en/article/calculus-and-real-analysis-202605120409,Mathematics,"Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities",https://arxiv.org/abs/2307.13565,"Mandi, J. et al. ""Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities"". semantic_scholar_foundational, 2023."
Calculus and Real Analysis,https://smarticle.tech/en/article/calculus-and-real-analysis-202605120409,Mathematics,"Provably Safe Reinforcement Learning: Conceptual Analysis, Survey, and Benchmarking",https://arxiv.org/abs/2205.06750,"Hanna Krasowski et al. ""Provably Safe Reinforcement Learning: Conceptual Analysis, Survey, and Benchmarking"". semantic_scholar_foundational, 2022."
Calculus and Real Analysis,https://smarticle.tech/en/article/calculus-and-real-analysis-202605120409,Mathematics,"Mathematical Frameworks for Network Dynamics: A Six-Pillar Survey for Analysis, Control, and Inference",https://doi.org/10.3390/math13132116,"Dimitri Volchenkov. ""Mathematical Frameworks for Network Dynamics: A Six-Pillar Survey for Analysis, Control, and Inference"". math13132116, 2025."
Number Theory and Prime Numbers,https://smarticle.tech/en/article/number-theory-and-prime-numbers-202605120430,Mathematics,A course of modern analysis,https://archive.org/details/courseofmodernan00whituoft,"A course of modern analysis. by E. T. Whittaker, G. N. Watson. (1902). — Franklin Classics. ISBN: 9780342601172"
Number Theory and Prime Numbers,https://smarticle.tech/en/article/number-theory-and-prime-numbers-202605120430,Mathematics,Distribution of Prime Numbers,https://openlibrary.org/works/OL26333447W,Distribution of Prime Numbers. by Dimitris Koukoulopoulos. (2019). — American Mathematical Society. ISBN: 9781470462857
Number Theory and Prime Numbers,https://smarticle.tech/en/article/number-theory-and-prime-numbers-202605120430,Mathematics,A course in analytic number theory,https://openlibrary.org/works/OL23202426W,A course in analytic number theory. by Marius Overholt. (2014). — American Mathematical Society. ISBN: 9781470417062
Quantum Mechanics and Wave-Particle Duality,https://smarticle.tech/en/article/quantum-mechanics-and-wave-particle-duality-202605120449,Physics,Quantum computation and quantum information,https://archive.org/details/liangzijisuanhel0002niel,"Quantum computation and quantum information. by Michael A. Nielsen, Isaac L. Chuang, CAMBRIDGE INDIA. (2000). — Cambridge University Press. ISBN: 7302072892"
Quantum Mechanics and Wave-Particle Duality,https://smarticle.tech/en/article/quantum-mechanics-and-wave-particle-duality-202605120449,Physics,Causal Physics,https://openlibrary.org/works/OL21040201W,Causal Physics. by Chandrasekhar Roychoudhuri. (2014). — Taylor & Francis Group. ISBN: 9781466515314
Quantum Mechanics and Wave-Particle Duality,https://smarticle.tech/en/article/quantum-mechanics-and-wave-particle-duality-202605120449,Physics,Mathematical foundations of quantum mechanics,https://archive.org/details/mathematicalfoun0613vonn,Mathematical foundations of quantum mechanics. by John Von Neumann. (1932). — Julius Springer. ISBN: 0691178577
Quantum Mechanics and Wave-Particle Duality,https://smarticle.tech/en/article/quantum-mechanics-and-wave-particle-duality-202605120449,Physics,From Classical to Quantum Mechanics,https://openlibrary.org/works/OL21014396W,"From Classical to Quantum Mechanics. by Giampiero Esposito, Giuseppe Marmo, George Sudarshan. (2004). — Cambridge University Press. ISBN: 0511187572"
Quantum Mechanics and Wave-Particle Duality,https://smarticle.tech/en/article/quantum-mechanics-and-wave-particle-duality-202605120449,Physics,Quantum Theory of Fields,https://openlibrary.org/works/OL25713134W,Quantum Theory of Fields. by Steven Weinberg. (1995). — Cambridge University Press. ISBN: 1139644173
Quantum Mechanics and Wave-Particle Duality,https://smarticle.tech/en/article/quantum-mechanics-and-wave-particle-duality-202605120449,Physics,The fire in the equations,https://archive.org/details/fireinequations0000ferg,The fire in the equations. by Kitty Ferguson. (1994). — Templeton Press. ISBN: 9781282450806
Quantum Mechanics and Wave-Particle Duality,https://smarticle.tech/en/article/quantum-mechanics-and-wave-particle-duality-202605120449,Physics,Philosophic foundations of quantum mechanics,https://archive.org/details/philosophicfound0000hans_f7s9,Philosophic foundations of quantum mechanics. by Hans Reichenbach. (1944). — Univ. of California Press. ISBN: 9780486404592
Quantum Mechanics and Wave-Particle Duality,https://smarticle.tech/en/article/quantum-mechanics-and-wave-particle-duality-202605120449,Physics,Neutron interferometry,https://openlibrary.org/works/OL13571907W,"Neutron interferometry. by H. Rauch, Helmut Rauch, Samuel A. Werner. (2000). — Clarendon Press. ISBN: 9780198500278"
Quantum Mechanics and Wave-Particle Duality,https://smarticle.tech/en/article/quantum-mechanics-and-wave-particle-duality-202605120449,Physics,Wave-Particle Duality,https://doi.org/10.1093/oso/9780199683338.003.0001,"Bertlmann, Reinhold A., and Nicolai Friis. ""Wave-Particle Duality"". crossref, 2023."
Quantum Mechanics and Wave-Particle Duality,https://smarticle.tech/en/article/quantum-mechanics-and-wave-particle-duality-202605120449,Physics,Wave Particle Duality of Light and Complementarity,https://doi.org/10.1007/978-1-4757-9808-1_5,"Home, Dipankar. ""Wave Particle Duality of Light and Complementarity"". crossref, 1997."
Thermodynamics and Statistical Mechanics,https://smarticle.tech/en/article/thermodynamics-and-statistical-mechanics-202605120502,Physics,Elementary principles in statistical mechanics,https://archive.org/details/elementaryprinci00gibbrich,Elementary principles in statistical mechanics. by J. Willard Gibbs. (1902). — Ox Bow Press. ISBN: 0918024196
Thermodynamics and Statistical Mechanics,https://smarticle.tech/en/article/thermodynamics-and-statistical-mechanics-202605120502,Physics,The road to Maxwell's demon,https://openlibrary.org/works/OL16626631W,The road to Maxwell's demon. by Meir Hemmo. (2012). — Cambridge University Press. ISBN: 1283638673
Thermodynamics and Statistical Mechanics,https://smarticle.tech/en/article/thermodynamics-and-statistical-mechanics-202605120502,Physics,Non-Equilibrium Thermodynamics and Statistical Mechanics,https://openlibrary.org/works/OL26780800W,Non-Equilibrium Thermodynamics and Statistical Mechanics. by Phil Attard. (2012). — Oxford University Press. ISBN: 9781283602044
Thermodynamics and Statistical Mechanics,https://smarticle.tech/en/article/thermodynamics-and-statistical-mechanics-202605120502,Physics,"Elementary Principles in Statistical Mechanics, Developed with Special Reference to the Rational Foundations of Thermodynamics",https://openlibrary.org/works/OL27855906W,"Elementary Principles in Statistical Mechanics, Developed with Special Reference to the Rational Foundations of Thermodynamics. by J. Willard Gibbs. (2018). — Creative Media Partners, LLC. ISBN: 9780342838547"
Thermodynamics and Statistical Mechanics,https://smarticle.tech/en/article/thermodynamics-and-statistical-mechanics-202605120502,Physics,Physical chemistry,https://archive.org/details/physicalchemistr0000meti_a1t2,Physical chemistry. by Horia Metiu. (2006). — Taylor & Francis Group. ISBN: 9780815340874
Thermodynamics and Statistical Mechanics,https://smarticle.tech/en/article/thermodynamics-and-statistical-mechanics-202605120502,Physics,Thermodynamics and statistical mechanics,https://openlibrary.org/works/OL23321857W,Thermodynamics and statistical mechanics. by Robert J. Hardy. (2014). — John Wiley & Sons Inc.. ISBN: 9781118501016
Thermodynamics and Statistical Mechanics,https://smarticle.tech/en/article/thermodynamics-and-statistical-mechanics-202605120502,Physics,"Physical chemistry : thermodynamics, statistical mechanics & kinetics",https://openlibrary.org/works/OL17809496W,"Physical chemistry : thermodynamics, statistical mechanics & kinetics. by Andrew Cooksy. (2014). — Pearson. ISBN: 9780321814159"
Thermodynamics and Statistical Mechanics,https://smarticle.tech/en/article/thermodynamics-and-statistical-mechanics-202605120502,Physics,Percolation Theory for Flow in Porous Media,https://archive.org/details/percolationtheor00hunt_449,Percolation Theory for Flow in Porous Media. by Allen Hunt. (2005). — Springer. ISBN: 9783319037707
Thermodynamics and Statistical Mechanics,https://smarticle.tech/en/article/thermodynamics-and-statistical-mechanics-202605120502,Physics,A new perspective on thermodynamics,https://archive.org/details/newperspectiveon00lave,A new perspective on thermodynamics. by Bernard H. Lavenda. (2010). — Springer. ISBN: 9781441914415
Electromagnetism and Maxwell's Equations,https://smarticle.tech/en/article/electromagnetism-and-maxwell-s-equations-202605120510,Physics,Elements of engineering electromagnetics,https://archive.org/details/elementsofengine0000nara,Elements of engineering electromagnetics. by Nannapaneni Narayana Rao. (1977). — Prentice-Hall. ISBN: 9780131139619
Electromagnetism and Maxwell's Equations,https://smarticle.tech/en/article/electromagnetism-and-maxwell-s-equations-202605120510,Physics,Bridging Circuits and Fields,https://openlibrary.org/works/OL24803864W,Bridging Circuits and Fields. by Alexander I. Petroianu. (2021). — CRC Press. ISBN: 0367711303
Electromagnetism and Maxwell's Equations,https://smarticle.tech/en/article/electromagnetism-and-maxwell-s-equations-202605120510,Physics,Discontinuities in the electromagnetic field,https://openlibrary.org/works/OL16470853W,Discontinuities in the electromagnetic field. by M. Mithat Idemen. (2011). — Wiley-IEEE Press. ISBN: 9781118057919
Electromagnetism and Maxwell's Equations,https://smarticle.tech/en/article/electromagnetism-and-maxwell-s-equations-202605120510,Physics,Introduction to Electromagnetic Waves with Maxwell's Equations,https://openlibrary.org/works/OL25261464W,"Introduction to Electromagnetic Waves with Maxwell's Equations. by Ozgur Ergul. (2021). — Wiley & Sons, Limited, John. ISBN: 9781119626725"
Electromagnetism and Maxwell's Equations,https://smarticle.tech/en/article/electromagnetism-and-maxwell-s-equations-202605120510,Physics,Electromagnetic Waves 1,https://openlibrary.org/works/OL25796105W,"Electromagnetic Waves 1. by Pierre-No¿l Favennec. (2021). — Wiley & Sons, Incorporated, John. ISBN: 9781119818472"
Electromagnetism and Maxwell's Equations,https://smarticle.tech/en/article/electromagnetism-and-maxwell-s-equations-202605120510,Physics,Foundations of electromagnetic theory,https://archive.org/details/foundationsofele0000reit_p4k9,"Foundations of electromagnetic theory. by John R. Reitz. (1960). — Addison-Wesley Educational Publishers Inc.,U.S.. ISBN: 9780201526240"
Electromagnetism and Maxwell's Equations,https://smarticle.tech/en/article/electromagnetism-and-maxwell-s-equations-202605120510,Physics,Electromagnetism,https://openlibrary.org/works/OL21500280W,"Electromagnetism. by Tamer Becherrawy. (2012). — Wiley & Sons, Incorporated, John. ISBN: 111858760X"
Electromagnetism and Maxwell's Equations,https://smarticle.tech/en/article/electromagnetism-and-maxwell-s-equations-202605120510,Physics,Electricity and Magnetism for Mathematicians,https://openlibrary.org/works/OL21092381W,Electricity and Magnetism for Mathematicians. by Thomas A. Garrity. (2015). — Cambridge University Press. ISBN: 9781107078208
Electromagnetism and Maxwell's Equations,https://smarticle.tech/en/article/electromagnetism-and-maxwell-s-equations-202605120510,Physics,Electrodynamics and Spacetime Geometry: Foundations,https://arxiv.org/abs/1602.01492,"Cabral, F., Lobo, F. ""Electrodynamics and Spacetime Geometry: Foundations"". 2016."
Electromagnetism and Maxwell's Equations,https://smarticle.tech/en/article/electromagnetism-and-maxwell-s-equations-202605120510,Physics,Quantization of Gauge Systems,https://doi.org/10.2307/j.ctv10crg0r,"Henneaux, M., Teitelboim, C. ""Quantization of Gauge Systems"". semantic_scholar_foundational, 1992."
Organic Chemistry and Molecular Structure,https://smarticle.tech/en/article/organic-chemistry-and-molecular-structure-202605120519,Chemistry,Principles of Organic Synthesis,https://openlibrary.org/works/OL25743408W,Principles of Organic Synthesis. by Richard O. C. Norman. (2017). — CRC Press. ISBN: 1351421719
Organic Chemistry and Molecular Structure,https://smarticle.tech/en/article/organic-chemistry-and-molecular-structure-202605120519,Chemistry,Molecular structure,https://openlibrary.org/works/OL18617148W,Molecular structure. by Norman L. Allinger. (2010). — Wiley. ISBN: 1282707655
Organic Chemistry and Molecular Structure,https://smarticle.tech/en/article/organic-chemistry-and-molecular-structure-202605120519,Chemistry,Crystallography made crystal clear,https://archive.org/details/crystallographym0000rhod,Crystallography made crystal clear. by Gale Rhodes. (1993). — Academic Press. ISBN: 9780080573786
Organic Chemistry and Molecular Structure,https://smarticle.tech/en/article/organic-chemistry-and-molecular-structure-202605120519,Chemistry,NMR spectroscopy explained,https://openlibrary.org/works/OL8232048W,"NMR spectroscopy explained. by Neil E. Jacobsen. (2007). — Wiley & Sons Canada, Limited, John. ISBN: 0470173351"
Organic Chemistry and Molecular Structure,https://smarticle.tech/en/article/organic-chemistry-and-molecular-structure-202605120519,Chemistry,Supramolecular soft matter,https://openlibrary.org/works/OL16561371W,"Supramolecular soft matter. by Takashi Nakanishi. (2011). — Wiley & Sons, Incorporated, John. ISBN: 0470559748"
Organic Chemistry and Molecular Structure,https://smarticle.tech/en/article/organic-chemistry-and-molecular-structure-202605120519,Chemistry,From C-H to C-C Bonds,https://openlibrary.org/works/OL21506623W,"From C-H to C-C Bonds. by Christophe Darcel, Guojun Deng, Oliver Basle. (2014). — Royal Society of Chemistry, The. ISBN: 1782620087"
Organic Chemistry and Molecular Structure,https://smarticle.tech/en/article/organic-chemistry-and-molecular-structure-202605120519,Chemistry,Organic molecular photochemistry,https://archive.org/details/organicmolecular00rama_896,Organic molecular photochemistry. by V. Ramamurthy. (1999). — Taylor & Francis Group. ISBN: 9781000146288
Organic Chemistry and Molecular Structure,https://smarticle.tech/en/article/organic-chemistry-and-molecular-structure-202605120519,Chemistry,Hyper-structured molecules II,https://openlibrary.org/works/OL19263108W,Hyper-structured molecules II. by Hiroyuki Sasabe. (1999). — Gordon & Breach. ISBN: 9780203304044
Organic Chemistry and Molecular Structure,https://smarticle.tech/en/article/organic-chemistry-and-molecular-structure-202605120519,Chemistry,101 design methods,https://archive.org/details/101designmethods0000kuma,"101 design methods. by Vijay Kumar. (2012). — Wiley & Sons, Incorporated, John. ISBN: 1118330889"
Organic Chemistry and Molecular Structure,https://smarticle.tech/en/article/organic-chemistry-and-molecular-structure-202605120519,Chemistry,Visualization of Hydrogen-Bond Dynamics,https://openlibrary.org/works/OL19909954W,Visualization of Hydrogen-Bond Dynamics. by Takashi Kumagai. (2012). — Imprint: Springer. ISBN: 9784431541578
Inorganic Chemistry and Coordination Compounds,https://smarticle.tech/en/article/inorganic-chemistry-and-coordination-compounds-202605161512,Chemistry,Inorganic Syntheses,https://archive.org/details/inorganicsynthes0006unse,Inorganic Syntheses. by Inc. Inorganic Syntheses. (2004). — Wiley-Interscience. ISBN: 0470131683
Inorganic Chemistry and Coordination Compounds,https://smarticle.tech/en/article/inorganic-chemistry-and-coordination-compounds-202605161512,Chemistry,Progress in inorganic chemistry,https://archive.org/details/progressininorga0023unse,"Progress in inorganic chemistry. by Henry Taube, Stephen J. Lippard. (1983). — J. Wiley. ISBN: 0470166282"
Inorganic Chemistry and Coordination Compounds,https://smarticle.tech/en/article/inorganic-chemistry-and-coordination-compounds-202605161512,Chemistry,Chemistry,https://openlibrary.org/works/OL21370129W,"Chemistry. by Catherine E. Housecroft. (1997). — Pearson Education, Limited. ISBN: 9780582895904"
Inorganic Chemistry and Coordination Compounds,https://smarticle.tech/en/article/inorganic-chemistry-and-coordination-compounds-202605161512,Chemistry,A comprehensive treatise on inorganic and theoretical chemistry,https://openlibrary.org/works/OL10450192W,A comprehensive treatise on inorganic and theoretical chemistry. by J. W. Mellor. (1922). — Longman. ISBN: 9780582462632
Inorganic Chemistry and Coordination Compounds,https://smarticle.tech/en/article/inorganic-chemistry-and-coordination-compounds-202605161512,Chemistry,Transition Metal Catalysis Controlled by Hydrogen Bonding in the Second Coordination Sphere,https://doi.org/10.1021/acs.chemrev.1c00862,"J. Reek et al. ""Transition Metal Catalysis Controlled by Hydrogen Bonding in the Second Coordination Sphere"". Chem. Rev., 2022."
Inorganic Chemistry and Coordination Compounds,https://smarticle.tech/en/article/inorganic-chemistry-and-coordination-compounds-202605161512,Chemistry,Transition metal complexes of the naked pnictide elements,https://doi.org/10.1016/J.CCR.2018.06.012,"K. Whitmire. ""Transition metal complexes of the naked pnictide elements"". Coordination Chemistry Reviews, 2018."
Inorganic Chemistry and Coordination Compounds,https://smarticle.tech/en/article/inorganic-chemistry-and-coordination-compounds-202605161512,Chemistry,Recent advances in boron-centered ligands and their transition metal complexes,https://doi.org/10.1016/J.CCR.2018.09.013,"Goettel, James T., and H. Braunschweig. ""Recent advances in boron-centered ligands and their transition metal complexes"". Coordination Chemistry Reviews, 2019."
Inorganic Chemistry and Coordination Compounds,https://smarticle.tech/en/article/inorganic-chemistry-and-coordination-compounds-202605161512,Chemistry,Cation-controlled catalysis with crown ether-containing transition metal complexes.,https://doi.org/10.1039/c9cc00803a,"C. Yoo, H. M. Dodge, A. J. M. Miller. ""Cation-controlled catalysis with crown ether-containing transition metal complexes"". Chem. Commun., 2019."
Inorganic Chemistry and Coordination Compounds,https://smarticle.tech/en/article/inorganic-chemistry-and-coordination-compounds-202605161512,Chemistry,Transition-metal difluorocarbene complexes.,https://doi.org/10.1039/d1cc04029d,"Zhou, W. et al. ""Transition-metal difluorocarbene complexes"". *Chem. Commun.*, 2021."
Inorganic Chemistry and Coordination Compounds,https://smarticle.tech/en/article/inorganic-chemistry-and-coordination-compounds-202605161512,Chemistry,"Electronic Structure and Chemical Bonding of the First-, Second-, and Third-Row-Transition-Metal Monoborides: The Formation of Quadruple Bonds in RhB,",https://doi.org/10.3390/molecules28248016,"Demetriou, C. et al. ""Electronic Structure and Chemical Bonding of the First-, Second-, and Third-Row-Transition-Metal Monoborides: The Formation of Quadruple Bonds in RhB, RuB, and TcB"". Molecules, 2023."
"Biochemistry: Enzymes, Metabolism, and Cellular Reactions",https://smarticle.tech/en/article/biochemistry-enzymes-metabolism-and-cellular-reactions-202605161521,Chemistry,Advances in enzymology and related areas of molecular biology,https://openlibrary.org/works/OL16923331W,"Advances in enzymology and related areas of molecular biology. by Eric J. Toone. (2009). — Wiley & Sons, Incorporated, John. ISBN: 9780470653210"
"Biochemistry: Enzymes, Metabolism, and Cellular Reactions",https://smarticle.tech/en/article/biochemistry-enzymes-metabolism-and-cellular-reactions-202605161521,Chemistry,Genes & signals,https://archive.org/details/genessignals0000ptas,"Genes & signals. by Mark Ptashne, Alexander Gann. (2001). — Cold Spring Harbor Laboratory Press. ISBN: 0879696338"
"Biochemistry: Enzymes, Metabolism, and Cellular Reactions",https://smarticle.tech/en/article/biochemistry-enzymes-metabolism-and-cellular-reactions-202605161521,Chemistry,Enzyme kinetics and mechanism,https://archive.org/details/enzymekineticsme0064unse,"Enzyme kinetics and mechanism. by Sidney P. Colowick, Daniel L. Purich, Melvin I. Simon. (1999). — Academic Press. ISBN: 0121822095"
"Biochemistry: Enzymes, Metabolism, and Cellular Reactions",https://smarticle.tech/en/article/biochemistry-enzymes-metabolism-and-cellular-reactions-202605161521,Chemistry,Introduction to Enzyme and Coenzyme Chemistry,https://openlibrary.org/works/OL8719143W,Introduction to Enzyme and Coenzyme Chemistry. by Tim Bugg. (2004). — Blackwell Publishing Limited. ISBN: 9781405114523
"Biochemistry: Enzymes, Metabolism, and Cellular Reactions",https://smarticle.tech/en/article/biochemistry-enzymes-metabolism-and-cellular-reactions-202605161521,Chemistry,An Introduction to Enzyme and Coenzyme Chemistry,https://archive.org/details/introductiontoen0000bugg,An Introduction to Enzyme and Coenzyme Chemistry. by Tim Bugg. (1997). — Blackwell Publishers. ISBN: 0865427933
"Biochemistry: Enzymes, Metabolism, and Cellular Reactions",https://smarticle.tech/en/article/biochemistry-enzymes-metabolism-and-cellular-reactions-202605161521,Chemistry,Metallobiochemistry,https://archive.org/details/metallobiochemis0000unse_y3a1,"Metallobiochemistry. by James F. Riordan, John N. Abelson, Melvin I. Simon. (1988). — Academic Press. ISBN: 9780121820596"
"Biochemistry: Enzymes, Metabolism, and Cellular Reactions",https://smarticle.tech/en/article/biochemistry-enzymes-metabolism-and-cellular-reactions-202605161521,Chemistry,Arachidonate related lipid mediators,https://openlibrary.org/works/OL18468690W,Arachidonate related lipid mediators. by Robert C. Murphy. (1990). — Elsevier Science & Technology Books. ISBN: 9780121820886
"Biochemistry: Enzymes, Metabolism, and Cellular Reactions",https://smarticle.tech/en/article/biochemistry-enzymes-metabolism-and-cellular-reactions-202605161521,Chemistry,Influence of hepatic microsomal mixed function oxidation reactions on cellular metabolic control,https://doi.org/10.1016/0026-0495(71)90091-6,"Ronald W Estabrook et al. ""Influence of hepatic microsomal mixed function oxidation reactions on cellular metabolic control"". *Metabolism*, 1971."
"Biochemistry: Enzymes, Metabolism, and Cellular Reactions",https://smarticle.tech/en/article/biochemistry-enzymes-metabolism-and-cellular-reactions-202605161521,Chemistry,Review of Understanding Biochemistry: Enzymes and Membranes,https://doi.org/10.1042/bio03802046,"Understanding Biochemistry: Enzymes and Membranes. *crossref*, 2016."
"Biochemistry: Enzymes, Metabolism, and Cellular Reactions",https://smarticle.tech/en/article/biochemistry-enzymes-metabolism-and-cellular-reactions-202605161521,Chemistry,"Review for ""Succinate receptor 1 signaling mutually depends on subcellular localization and cellular metabolism""",https://doi.org/10.1111/febs.17407/v1/review1,"Sposini S. ""Review for 'Succinate receptor 1 signaling mutually depends on subcellular localization and cellular metabolism'"". FEBS Journal, 2024."
Evolutionary Biology and Natural Selection,https://smarticle.tech/en/article/evolutionary-biology-and-natural-selection-202605161529,Biology,Different,https://archive.org/details/primatenundphilo0000unse,Different. by Frans de Waal. (2006). — Princeton University Press. ISBN: 1324050365
Evolutionary Biology and Natural Selection,https://smarticle.tech/en/article/evolutionary-biology-and-natural-selection-202605161529,Biology,Climbing Mount Improbable,https://archive.org/details/viewfrommountimp0000dawk,Climbing Mount Improbable. by Richard Dawkins. (1996). — Norton. ISBN: 0393316823
Evolutionary Biology and Natural Selection,https://smarticle.tech/en/article/evolutionary-biology-and-natural-selection-202605161529,Biology,Evolutionary Biology,https://archive.org/details/evolutionarybiol0000unse_a5x5,Evolutionary Biology. by Max Hecht. (1978). — Springer. ISBN: 1461569850
Evolutionary Biology and Natural Selection,https://smarticle.tech/en/article/evolutionary-biology-and-natural-selection-202605161529,Biology,The language of the genes,https://archive.org/details/languageofgenesb0000jone_n0m1,The language of the genes. by Steve Jones. (1991). — Anchor. ISBN: 9780006552437
Evolutionary Biology and Natural Selection,https://smarticle.tech/en/article/evolutionary-biology-and-natural-selection-202605161529,Biology,Evolutionary analysis,https://archive.org/details/evolutionaryanal0000free,"Evolutionary analysis. by Freeman, Scott, Scott Freeman, Jon Herron. (1920). — Benjamin-Cummings Publishing Company. ISBN: 9780321928160"
Evolutionary Biology and Natural Selection,https://smarticle.tech/en/article/evolutionary-biology-and-natural-selection-202605161529,Biology,Biogeography,https://archive.org/details/biogeographyecol0000coxc_v7i3_8edi,"Biogeography. by C. Barry Cox, Peter Dale Moore, Richard J. Ladle. (1973). — Blackwell Scientific Publications. ISBN: 9781405118989"
Evolutionary Biology and Natural Selection,https://smarticle.tech/en/article/evolutionary-biology-and-natural-selection-202605161529,Biology,Animal behavior,https://archive.org/details/animalbehaviorev0000alco_f0u5,Animal behavior. by John Alcock. (1975). — Spektrum Akademischer Verlag. ISBN: 9780878930098
Evolutionary Biology and Natural Selection,https://smarticle.tech/en/article/evolutionary-biology-and-natural-selection-202605161529,Biology,Introduction To Evolutionary Genomics,https://archive.org/details/introductiontoev0000sait_k7l0,Introduction To Evolutionary Genomics. by Naruya Saitou. (2014). — Springer International Publishing AG. ISBN: 9783030064785
Evolutionary Biology and Natural Selection,https://smarticle.tech/en/article/evolutionary-biology-and-natural-selection-202605161529,Biology,From Eve to evolution,https://openlibrary.org/works/OL19983983W,From Eve to evolution. by Kimberly A. Hamlin. (2014). — University of Chicago Press. ISBN: 9781306640008
Evolutionary Biology and Natural Selection,https://smarticle.tech/en/article/evolutionary-biology-and-natural-selection-202605161529,Biology,DARWINIAN AND NON-DARWINIAN EVOLUTION,https://doi.org/10.1525/9780520313897-001,"Crow, James F. ""Darwinian and Non-Darwinian Evolution"". crossref, 1972."
Molecular Biology: DNA Replication and Gene Expression,https://smarticle.tech/en/article/molecular-biology-dna-replication-and-gene-expression-202605161543,Biology,International Review of Cell and Molecular Biology,https://archive.org/details/internationalrev0000unse_p2v0,International Review of Cell and Molecular Biology. by Kwang W. Jeon. (2008). — Academic Press. ISBN: 0124076963
